CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	NC_011898	CCEL_RS06265	1	1725	+	8.A.59.2.1
CGC1	TF	NC_011898	CCEL_RS06270	1730	3430	+	HTH_AraC|HTH_AraC
CGC1	TC	NC_011898	CCEL_RS06275	3589	5304	+	3.A.1.1.9
CGC1	TC	NC_011898	CCEL_RS06280	5410	6312	+	3.A.1.1.9
CGC1	TC	NC_011898	CCEL_RS06285	6327	7211	+	3.A.1.1.9
CGC1	CAZyme	NC_011898	CCEL_RS06290	7357	8835	+	GH51_1
CGC1	null	NC_011898	CCEL_RS06295;Parent	8944	9198	+	null
CGC1	CAZyme	NC_011898	CCEL_RS06300	9246	10748	+	GH43_10|CBM91
CGC1	CAZyme	NC_011898	CCEL_RS06305	10766	11896	+	GH8
CGC1	CAZyme	NC_011898	CCEL_RS06310	11963	13468	+	GH39
CGC1	CAZyme	NC_011898	CCEL_RS06315	13516	14313	+	CE1
CGC1	null	NC_011898	CCEL_RS06320;Parent	14366	16564	+	null
CGC1	CAZyme	NC_011898	CCEL_RS06325	16603	18498	+	CE20|CE20
