dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH2_e16	GH2:215|CBM32:1	3.2.1.23:3	beta-galactan	748	AX660_RS08390	853	1.5e-294	4	748	33	786	0.9946524064171123	0.9946524064171123
GH29_e53	GH29:465|GH43_18:4	3.2.1.51:6	host glycan	357	AX660_RS08395	532	7e-160	2	357	57	421	0.9943977591036415	0.9943977591036415
GH63_e14	GH63:109	3.2.1.170:3	alpha-glucan	385	AX660_RS08410	429	3.4e-166	1	384	42	425	0.9948051948051948	0.9948051948051948
CE2_e30	CE2:28|GH5_4:6	3.1.1.72:1|3.1.1.-:1|3.2.1.4:1|3.2.1.8:1|3.2.1.-:1	xylan	210	AX660_RS08455	411	1.8e-46	1	210	155	358	0.9952380952380953	0.9952380952380953
GH86_e13	GH86:7	-	-	614	AX660_RS08480	1648	4.3e-45	3	220	26	254	0.3534201954397394	0.3534201954397394
GH86_e4	GH86:29|CBM6:26	3.2.1.81:3	agarose	399	AX660_RS08480	1648	3.6e-118	2	399	299	740	0.9949874686716792	0.9949874686716792
CBM56_e2	CBM56:24|GH16_3:24|CBM32:1	3.2.1.39:1	beta-glucan	179	AX660_RS08480	1648	5.7e-17	6	94	840	927	0.49162011173184356	0.49162011173184356
CBM6_e64	CBM6:5|GH86:2|GH16:2|GH16_14:1	3.2.1.81:1	beta-glucan, xylan, cellulose	124	AX660_RS08480	1648	1.1e-36	1	124	1019	1139	0.9919354838709677	0.9919354838709677
CBM6_e29	CBM6:9|GH96:9	3.2.1.158:3	beta-glucan, xylan, cellulose	112	AX660_RS08480	1648	6.6e-26	4	112	1476	1581	0.9642857142857143	0.9642857142857143
GH50_e8	GH50:162	3.2.1.81:19	agarose	673	AX660_RS08495	777	0	1	672	91	769	0.9970282317979198	0.9970282317979198
