CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NZ_LSNE01000005	AX660_RS08390	1	2562	+	GH2
CGC1	CAZyme	NZ_LSNE01000005	AX660_RS08395	2593	4191	+	GH29
CGC1	null	NZ_LSNE01000005	AX660_RS08400;Parent	4434	5636	-	null
CGC1	STP	NZ_LSNE01000005	AX660_RS08405	5629	6615	-	PfkB
CGC1	CAZyme	NZ_LSNE01000005	AX660_RS08410	6646	7935	-	GH63
CGC1	null	NZ_LSNE01000005	AX660_RS08415;Parent	8138	10585	+	null
CGC1	TC	NZ_LSNE01000005	AX660_RS08420	10754	12331	+	2.A.21.5.1
CGC1	null	NZ_LSNE01000005	AX660_RS08425;Parent	12347	13612	+	null
CGC1	STP	NZ_LSNE01000005	AX660_RS08430	13668	14825	+	Sigma70_r4
CGC1	null	NZ_LSNE01000005	AX660_RS08435;Parent	14976	16082	-	null
CGC1	null	NZ_LSNE01000005	AX660_RS08440;Parent	16149	16501	-	null
CGC1	null	NZ_LSNE01000005	AX660_RS08445;Parent	16635	17064	-	null
CGC1	TF	NZ_LSNE01000005	AX660_RS23290	17967	18956	+	none
CGC1	TF	NZ_LSNE01000005	AX660_RS23700	19107	19259	+	HTH_AraC|HTH_AraC
CGC1	CAZyme	NZ_LSNE01000005	AX660_RS08455	19441	20676	+	CE2
CGC1	TC	NZ_LSNE01000005	AX660_RS08460	20958	24233	+	1.B.14.12.1
CGC1	null	NZ_LSNE01000005	AX660_RS08465;Parent	24340	25845	+	null
CGC1	null	NZ_LSNE01000005	AX660_RS08470;Parent	25849	27324	+	null
CGC1	TF	NZ_LSNE01000005	AX660_RS08475	27638	28420	+	TrmB
CGC1	CAZyme	NZ_LSNE01000005	AX660_RS08480	28974	33920	+	GH86|GH86|CBM6
CGC1	null	NZ_LSNE01000005	AX660_RS08485;Parent	33944	34519	+	null
CGC1	TF	NZ_LSNE01000005	AX660_RS08490	34650	35264	-	GntR
CGC1	CAZyme	NZ_LSNE01000005	AX660_RS08495	35616	37949	-	GH50
