CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	JABKKE010000013	HPS55_08870	1	3258	+	1.B.14.6.1
CGC1	null	JABKKE010000013	HPS55_08875	3290	4924	+	null
CGC1	null	JABKKE010000013	HPS55_08880	4955	6817	+	null
CGC1	null	JABKKE010000013	HPS55_08885	6986	7807	+	null
CGC1	CAZyme	JABKKE010000013	HPS55_08890	8114	10516	+	 GH35|GH35|CBM32
CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	JABKKE010000013	HPS55_08870	1	3258	+	1.B.14.6.1
CGC1	null	JABKKE010000013	HPS55_08875;Parent	3290	4924	+	null
CGC1	null	JABKKE010000013	HPS55_08880;Parent	4955	6817	+	null
CGC1	null	JABKKE010000013	HPS55_08885;Parent	6986	7807	+	null
CGC1	CAZyme	JABKKE010000013	HPS55_08890	8114	10516	+	GH35
