HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH67.hmm	669	XAC_RS21325	731	1.6e-303	1	667	36	706	0.9955156950672646
CE20.hmm	249	XAC_RS21330	654	6.3e-43	3	112	108	219	0.43775100401606426
CE20.hmm	249	XAC_RS21330	654	4.3e-44	125	248	416	538	0.4939759036144578
GH43_12.hmm	281	XAC_RS21340	556	1.5e-120	1	281	45	336	0.99644128113879
CBM91.hmm	200	XAC_RS21340	556	2.6e-53	5	185	371	553	0.9
GH3.hmm	216	XAC_RS21345	901	6.8e-71	3	215	67	317	0.9814814814814815
GH10.hmm	303	XAC_RS21435	394	3.4e-105	1	302	37	386	0.9933993399339934
GH2.hmm	752	XAC_RS21440	889	5.4e-118	23	475	8	701	0.601063829787234
GH10.hmm	303	XAC_RS21465	330	8.3e-76	15	302	34	319	0.9471947194719472
GH43_1.hmm	310	XAC_RS21485	344	1.9e-164	1	310	21	330	0.9967741935483871
