Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
XAC_RS21325	3.2.1.139:4|3.2.1.131:3|3.2.1.-:1	GH67(36-706)	GH67_e0	GH67	3
XAC_RS21330	-	CE20(108-219)+CE20(416-538)	CE20_e33	CE20	3
XAC_RS21340	-|-	GH43_12(45-336)+CBM91(371-553)	GH43_e318+CBM91_e1	GH43_12	3
XAC_RS21345	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	GH3(67-317)	GH3_e0	GH3	3
XAC_RS21435	3.2.1.-:1	GH10(37-386)	GH10_e125	GH10	3
XAC_RS21440	3.2.1.23:2	GH2(8-701)	GH2_e127	GH2	3
XAC_RS21465	3.2.1.8:6	GH10(34-319)	GH10_e0	GH10	3
XAC_RS21485	3.2.1.37:19|3.2.1.55:4	GH43_1(21-330)	GH43_e53	GH43_1	3
XAC_RS21335	-	-	-	GH43_12	1
XAC_RS21480	-	-	-	GH43_1	1
