dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CE20_e26	CE20:7|CE6:6	-	-	233	Bovatus_RS21700	292	5.9e-16	4	182	26	240	0.7639484978540773	0.7639484978540773
GH2_e41	GH2:131	3.2.1.31:2	beta-glucuronan	481	Bovatus_RS21705	987	4.7e-278	2	481	24	502	0.9958419958419958	0.9958419958419958
PL11_e0	PL11_1:1283|CBM2:80|CE12:47|PL11:27|CBM35:19|CBM13:13|PL11_2:8|CBM3:6|CBM37:2|GH28:1|GH128:1|CBM0:1|CBM84:1|CBM88:1|CBM5:1|CBM66:1|GH44:1|GH105:1|CBM10:1	4.2.2.23:15|4.2.2.24:5	pectin, pectin	607	Bovatus_RS21715	633	1.4e-273	2	574	32	621	0.942339373970346	0.942339373970346
GH28_e139	GH28:134|GH43_18:1	3.2.1.173:1	pectin	371	Bovatus_RS21720	487	1.3e-183	1	370	79	449	0.9946091644204852	0.9946091644204852
PL9_e24	PL9_1:24|PL9:3	4.2.2.23:2	pectin	407	Bovatus_RS21725	514	1.4e-220	1	407	21	428	0.9975429975429976	0.9975429975429976
GH28_e117	GH28:129	3.2.1.173:1	pectin	341	Bovatus_RS21740	436	3.7e-186	2	339	77	414	0.9882697947214076	0.9882697947214076
CE20_e4	CE20:26|GH105:19	-	-	263	Bovatus_RS21745	809	1e-139	1	263	72	334	0.9961977186311787	0.9961977186311787
GH105_e22	GH105:48	-	-	341	Bovatus_RS21745	809	5.4e-200	1	341	468	808	0.9970674486803519	0.9970674486803519
PL1_e17	PL1_2:87|PL1:18|CBM3:3|CBM6:2|CBM1:1|CBM37:1|CBM13:1|PL0:1	-	-	179	Bovatus_RS21750	563	1.4e-70	1	179	137	323	0.994413407821229	0.994413407821229
GH28_e80	GH28:246|GH105:15|CE8:1	-	-	368	Bovatus_RS21800	469	4.4e-174	1	366	76	445	0.9918478260869565	0.9918478260869565
