Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
Bovatus_RS21705	3.2.1.31:2	GH2(21-769)	GH2_e41	GH2	3
Bovatus_RS21715	4.2.2.23:15|4.2.2.24:5	PL11(30-620)	PL11_e0	PL11_1	3
Bovatus_RS21720	3.2.1.173:1	GH28(77-449)	GH28_e139	GH28	3
Bovatus_RS21725	4.2.2.23:2	PL9_1(20-427)	PL9_e24	PL9_1	3
Bovatus_RS21740	3.2.1.173:1	GH28(74-414)	GH28_e117	GH28	3
Bovatus_RS21745	-|-	CE20(71-333)+GH105(467-808)	CE20_e4+GH105_e22	GH105	3
Bovatus_RS21750	-	PL1_2(136-322)	PL1_e17	PL1_2	3
Bovatus_RS21800	-	GH28(76-451)	GH28_e80	GH28	3
Bovatus_RS21700	-	-	CE20_e26	-	1
Bovatus_RS21790	-	-	-	GH105+GH28	1
