HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_24.hmm	246	BLLJ_RS09500	1278	1.4e-91	2	245	90	458	0.9878048780487805
GH30_5.hmm	456	BLLJ_RS09505	1513	1.1e-161	1	456	39	635	0.9978070175438597
GH146.hmm	503	BLLJ_RS09540	1984	1.7e-152	2	503	382	943	0.9960238568588469
GH43_22.hmm	209	BLLJ_RS09550	1664	2.9e-59	2	208	438	674	0.9856459330143541
GH43_34.hmm	280	BLLJ_RS09550	1664	9.8e-96	1	279	1056	1355	0.9928571428571429
GH43_22.hmm	209	BLLJ_RS09555	2000	3.1e-39	2	208	407	675	0.9856459330143541
GH43_26.hmm	294	BLLJ_RS09555	2000	8e-59	8	293	1467	1822	0.9693877551020408
GH43_27.hmm	299	BLLJ_RS09560	1246	5.1e-112	1	299	737	1084	0.9966555183946488
GH43_22.hmm	209	BLLJ_RS09565	1097	5e-73	1	207	505	749	0.9856459330143541
GH43_22.hmm	209	BLLJ_RS09570	1065	2.5e-62	2	208	518	758	0.9856459330143541
