dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH67_e0	GH67:722	3.2.1.139:4|3.2.1.131:3|3.2.1.-:1	xylan, xylan	668	P162_RS02330	724	0	1	667	25	695	0.9970059880239521	0.9970059880239521
GH10_e7	GH10:66|CBM22:2|CBM4:1|CBM9:1|CBM13:1	3.2.1.8:1	xylan	329	P162_RS02335	374	1.8e-159	1	328	42	371	0.993920972644377	0.993920972644377
GH115_e0	GH115:692|GH3:1|CE15:1|CBM6:1|CE4:1	3.2.1.131:6	xylan	646	P162_RS02340	948	0	2	645	36	935	0.9953560371517027	0.9953560371517027
CBM4_e26	CBM4:30|GH10:30	-	xylan, beta-glucan	139	P162_RS02345	731	5.7e-41	7	138	168	298	0.9424460431654677	0.9424460431654677
CBM4_e26	CBM4:30|GH10:30	-	xylan, beta-glucan	139	P162_RS02345	731	8.4e-37	1	138	328	453	0.9856115107913669	0.9856115107913669
GH10_e101	GH10:68|CBM4:40|CBM0:10	3.2.1.8:10	xylan	231	P162_RS02345	731	1.5e-105	2	231	490	715	0.9913419913419913	0.9913419913419913
CE15_e21	CE15:21|GH8:4|GH10:3|CBM9:1|CBM4:1	3.1.1.-:1	-	322	P162_RS02365	791	6.6e-157	1	322	57	384	0.9968944099378882	0.9968944099378882
CBM9_e7	CBM9:10|CBM88:5|CE4:1|GH8:1|CE15:1|CE6:1|GH43_10:1|CBM35:1|GH39:1|GH11:1|CE1:1|CBM6:1|GH43:1|GH30_8:1|GH10:1	-	cellulose	183	P162_RS02365	791	1e-60	1	182	522	706	0.9890710382513661	0.9890710382513661
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	P162_RS02380	371	1.5e-161	2	310	54	362	0.9935483870967742	0.9935483870967742
CE20_e33	CE20:279|GH33:1|CBM35:1	-	-	256	P162_RS02385	640	1.9e-97	2	255	103	531	0.98828125	0.98828125
