Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
ACI5KW_RS05650	QDV26383.1|GH141|GH168	76.9	360	83	0	42	401	770	1129	9.37e-196	577
ACI5KW_RS05655	QDV41147.1|GH141	76.8	723	162	2	31	748	18	739	0.0	1160
ACI5KW_RS05665	QDT08269.1|GH0	84.2	488	73	1	1	484	32	519	0.0	873
ACI5KW_RS05670	AWW32784.1|CBM32	47.3	689	347	7	8	686	15	697	4.91e-212	628
ACI5KW_RS05675	QDV66019.1|GH29	46.7	505	233	7	14	513	22	495	1.33e-149	464
ACI5KW_RS05680	AYC81240.1|GH107|3.2.1.212	57.8	493	181	6	2	468	60	551	2.32e-201	585
ACI5KW_RS05700	QDT08270.1|GH141	73.2	717	187	1	1	712	1	717	0.0	1073
ACI5KW_RS05710	UBM36931.1|GH29	44.5	569	289	8	2	554	4	561	2.61e-161	495
ACI5KW_RS05715	QDU90762.1|GH29	76.5	459	105	2	18	475	35	491	5.59e-267	739
ACI5KW_RS05720	QDV87241.1|GH29	70.1	586	174	1	2	586	6	591	0.0	899
