CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	NZ_CP028092	C1N53_RS10680	1991	5014	+	1.B.14.6.1
CGC1	null	NZ_CP028092	C1N53_RS10685;Parent	5027	6517	+	null
CGC1	null	NZ_CP028092	C1N53_RS10690;Parent	6530	7615	+	null
CGC1	CAZyme	NZ_CP028092	C1N53_RS10695	7740	9188	+	GH13
CGC1	CAZyme	NZ_CP028092	C1N53_RS10700	9233	10600	+	GH13
CGC1	CAZyme	NZ_CP028092	C1N53_RS10705	10772	12910	+	GH97
CGC1	CAZyme	NZ_CP028092	C1N53_RS10710	13050	15503	-	CBM48|GH13_9
CGC1	CAZyme	NZ_CP028092	C1N53_RS10715	15496	18828	-	GH13_16
CGC1	CAZyme	NZ_CP028092	C1N53_RS10720	18989	20959	-	GH13_3
CGC1	CAZyme	NZ_CP028092	C1N53_RS10725	21216	23045	+	CBM48|GH13_10
CGC1	CAZyme	NZ_CP028092	C1N53_RS10730	23045	25468	+	GH57
CGC1	CAZyme	NZ_CP028092	C1N53_RS10735	25477	28206	+	GH13_26
CGC1	CAZyme	NZ_CP028092	C1N53_RS10740	28203	29717	+	GH77
