dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH13_e214	GH13:12	-	sucrose	288	C1N53_RS10695	482	7.4e-150	1	286	86	367	0.9895833333333334	0.9895833333333334
GH13_e214	GH13:12	-	sucrose	288	C1N53_RS10700	455	4.4e-152	1	288	55	340	0.9965277777777778	0.9965277777777778
GH97_e22	GH97:651	3.2.1.3:2|3.2.1.20:2	alpha-glucan, alpha-glucan	689	C1N53_RS10705	712	0	4	689	14	699	0.9941944847605225	0.9941944847605225
CBM48_e2	CBM48:14087|GH13_9:14033|GH77:8|GH13:5|GT5:2|GH13_3:1|GH0:1	2.4.1.18:57	glycogen	100	C1N53_RS10710	817	1.1e-24	6	92	206	307	0.86	0.86
GH13_e200	GH13_9:2874|CBM48:2782|GH77:10|GH13:7|GH13_3:5|GH0:1|GT5:1|GH13_1:1	2.4.1.18:14	sucrose, alpha-glucan	301	C1N53_RS10710	817	4.7e-168	1	300	365	664	0.9933554817275747	0.9933554817275747
GH13_e0	GH13_16:815|GH13:8|GH13_19:1	5.4.99.16:7	sucrose, starch	354	C1N53_RS10715	1110	7.9e-196	1	354	38	391	0.9971751412429378	0.9971751412429378
GH13_e41	GH13_3:1253|GH0:92|GH13:34|GT4:1	-	sucrose	217	C1N53_RS10720	656	4.6e-96	2	215	224	442	0.9815668202764977	0.9815668202764977
CBM48_e0	CBM48:5017|GH13_10:4928|GH13:79|GH77:20|GT5:1|GH13_26:1|GH13_9:1	3.2.1.141:34|3.2.1.1:4	glycogen	103	C1N53_RS10725	609	6.9e-33	5	103	4	105	0.9514563106796117	0.9514563106796117
GH13_e127	GH13_10:175|CBM48:154|GH13:3	-	sucrose	315	C1N53_RS10725	609	3.9e-165	1	315	123	437	0.9968253968253968	0.9968253968253968
GH57_e36	GH57:296|GH13_26:1	3.2.1.1:1	starch	296	C1N53_RS10730	807	4.5e-146	1	296	35	329	0.9966216216216216	0.9966216216216216
GH13_e105	GH13_26:1493|GH77:81|GH13:7|GH57:1|CBM48:1|GH13_10:1	5.4.99.15:5	sucrose, starch	304	C1N53_RS10735	909	3.9e-115	5	303	18	374	0.9802631578947368	0.9802631578947368
GH77_e17	GH77:57|GH13_26:41	-	-	481	C1N53_RS10740	528	6.6e-221	1	479	13	492	0.9937629937629938	0.9937629937629938
