Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
C1N53_RS10695	-	GH13(85-368)	GH13_e214	GH13	3
C1N53_RS10700	-	GH13(54-339)	GH13_e214	GH13	3
C1N53_RS10705	3.2.1.3:2|3.2.1.20:2	GH97(9-698)	GH97_e22	GH97	3
C1N53_RS10710	2.4.1.18:57|2.4.1.18:14	CBM48(208-296)+GH13_9(365-664)	CBM48_e2+GH13_e200	CBM48+GH13_9	3
C1N53_RS10715	5.4.99.16:7	GH13_16(37-390)	GH13_e0	GH13_16	3
C1N53_RS10720	-	GH13_3(222-442)	GH13_e41	GH13_3	3
C1N53_RS10725	3.2.1.141:34|3.2.1.1:4|-	CBM48(7-77)+GH13_10(122-436)	CBM48_e0+GH13_e127	CBM48+GH13_10	3
C1N53_RS10730	3.2.1.1:1	GH57(58-354)	GH57_e36	GH57	3
C1N53_RS10735	5.4.99.15:5	GH13_26(26-374)	GH13_e105	GH13_26	3
C1N53_RS10740	-	GH77(12-500)	GH77_e17	GH77	3
