HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH97.hmm	631	Fjoh_3873	647	6.2e-172	3	628	9	645	0.9904912836767037
GH3.hmm	216	Fjoh_3874	864	4.5e-70	3	216	57	302	0.9861111111111112
GH43_10.hmm	271	Fjoh_3875	518	2.6e-100	1	271	25	293	0.996309963099631
CBM91.hmm	200	Fjoh_3875	518	8.2e-34	6	198	321	516	0.96
GH146.hmm	503	Fjoh_3876	765	3.2e-212	1	503	34	542	0.9980119284294234
GH115.hmm	697	Fjoh_3877	841	7.3e-286	4	697	35	818	0.994261119081779
CE6.hmm	99	Fjoh_3878	560	3.9e-36	2	99	90	200	0.9797979797979798
CE1.hmm	227	Fjoh_3878	560	9.4e-62	1	217	314	533	0.9515418502202643
GH43_12.hmm	281	Fjoh_3880	571	5.9e-102	2	281	58	352	0.9928825622775801
CBM91.hmm	200	Fjoh_3880	571	1.4e-49	6	183	390	568	0.885
