sequence_id	cluster_id	start	end	average_p	max_p	proteins	domains	type
DQ868502	DQ868502.2_cluster_1	18792	30070	0.8527590043594917	0.8790499671319193	DQ868502.2_16;DQ868502.2_17;DQ868502.2_18;DQ868502.2_19;DQ868502.2_20;DQ868502.2_21;DQ868502.2_22;DQ868502.2_23	PF00528;PF00528;PF01547;PF01609;PF04616;PF04616;PF04616;PF06964;PF13385;PF13416;PF16369;PF16499;PF17801;PF20578	Unknown
DQ868502	DQ868502.2_cluster_2	43428	61054	0.9606340739314154	0.9921441985088073	DQ868502.2_34;DQ868502.2_35;DQ868502.2_36;DQ868502.2_37;DQ868502.2_38;DQ868502.2_39;DQ868502.2_40;DQ868502.2_41;DQ868502.2_42;DQ868502.2_43;DQ868502.2_44;DQ868502.2_45;DQ868502.2_46;DQ868502.2_47;DQ868502.2_48	PF00294;PF00331;PF00392;PF00528;PF00528;PF00528;PF01081;PF01229;PF01263;PF01522;PF01547;PF03050;PF03512;PF03648;PF07477;PF07488;PF07729;PF13005;PF13416;PF20042	Unknown
NZ_PXJC01000002	NZ_PXJC01000002.1_cluster_1	248864	256146	0.939713031189539	0.9519989317056734	NZ_PXJC01000002.1_237;NZ_PXJC01000002.1_238;NZ_PXJC01000002.1_239;NZ_PXJC01000002.1_240;NZ_PXJC01000002.1_241	PF00356;PF00532;PF00704;PF00722;PF00933;PF01915;PF13377;PF13407;PF14310	Unknown
LT796702	LT796702.1_cluster_1	7773	14270	0.9501205449668092	0.9531159914392738	LT796702.1_12;LT796702.1_13;LT796702.1_14;LT796702.1_15;LT796702.1_16	PF00120;PF00150;PF00795;PF02156;PF02540;PF12437	Unknown
NZ_PJAI02000001	NZ_PJAI02000001.1_cluster_1	334001	352658	0.987270300109602	0.9963032171282079	NZ_PJAI02000001.1_267;NZ_PJAI02000001.1_268;NZ_PJAI02000001.1_269;NZ_PJAI02000001.1_270;NZ_PJAI02000001.1_271;NZ_PJAI02000001.1_272;NZ_PJAI02000001.1_273;NZ_PJAI02000001.1_274;NZ_PJAI02000001.1_275;NZ_PJAI02000001.1_276	PF00083;PF00083;PF00884;PF01120;PF01547;PF01614;PF01663;PF02746;PF05721;PF07690;PF09339;PF13378;PF13416;PF16347;PF16757;PF17992;PF17992;PF17992	Unknown
NZ_PJAI02000001	NZ_PJAI02000001.1_cluster_2	354513	367752	0.892990703904768	0.9087341634364251	NZ_PJAI02000001.1_279;NZ_PJAI02000001.1_280;NZ_PJAI02000001.1_281;NZ_PJAI02000001.1_282;NZ_PJAI02000001.1_283;NZ_PJAI02000001.1_284;NZ_PJAI02000001.1_285	PF00106;PF00171;PF00884;PF00884;PF00884;PF02368;PF02368;PF07277;PF07593;PF13517;PF13517;PF13561;PF16347;PF16347	Unknown
NZ_PJAI02000001	NZ_PJAI02000001.1_cluster_3	369450	381903	0.9480135274779316	0.9561610754065399	NZ_PJAI02000001.1_287;NZ_PJAI02000001.1_288;NZ_PJAI02000001.1_289;NZ_PJAI02000001.1_290;NZ_PJAI02000001.1_291	PF00392;PF00593;PF00593;PF02449;PF07715;PF07715;PF07729;PF08450;PF17992	Unknown
NZ_PJAI02000001	NZ_PJAI02000001.1_cluster_4	393843	401857	0.9380703903943766	0.940547758332229	NZ_PJAI02000001.1_300;NZ_PJAI02000001.1_301;NZ_PJAI02000001.1_302;NZ_PJAI02000001.1_303;NZ_PJAI02000001.1_304	PF00251;PF00294;PF00532;PF01087;PF02368;PF02368;PF02744;PF04616;PF07593;PF13407;PF13517;PF13517;PF13517;PF13517	Unknown
ADOP01000016	ADOP01000016.2_cluster_1	49471	65997	0.9567255372480206	0.9888434110478735	ADOP01000016.2_45;ADOP01000016.2_46;ADOP01000016.2_47;ADOP01000016.2_48;ADOP01000016.2_49;ADOP01000016.2_50;ADOP01000016.2_51;ADOP01000016.2_52	PF00135;PF00356;PF00532;PF00544;PF00593;PF01095;PF03480;PF04290;PF06439;PF06808;PF07715;PF07859;PF12740;PF13377;PF13407;PF20434	Unknown
ADOP01000016	ADOP01000016.2_cluster_2	66890	74821	0.9506897768538949	0.9569684659477832	ADOP01000016.2_55;ADOP01000016.2_56;ADOP01000016.2_57;ADOP01000016.2_58;ADOP01000016.2_59;ADOP01000016.2_60	PF00295;PF01081;PF02614;PF04616;PF07470;PF07470;PF12708;PF16153	Unknown
CP003873	CP003873.1_cluster_2	353707	360505	0.9085023373376745	0.9164928336018331	CP003873.1_308;CP003873.1_309;CP003873.1_310;CP003873.1_311;CP003873.1_312;CP003873.1_313	PF00356;PF00532;PF01261;PF01261;PF01261;PF01306;PF01408;PF02894;PF03825;PF07690;PF07690;PF12832;PF13377;PF13407;PF22725	Unknown
CP003873	CP003873.1_cluster_3	881492	897896	0.9069247267890682	0.9334369269129963	CP003873.1_764;CP003873.1_765;CP003873.1_766;CP003873.1_767;CP003873.1_768;CP003873.1_769;CP003873.1_770;CP003873.1_771;CP003873.1_772	PF00356;PF00532;PF00593;PF00754;PF00754;PF00754;PF00754;PF01112;PF01869;PF07221;PF07690;PF07715;PF07971;PF07971;PF13377;PF13407;PF17678;PF17678;PF22633;PF22633;PF22633;PF22633	Unknown
