CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NZ_GL882612	HMPREF9446_RS02735	1	2253	-	 GH3|GH3
CGC1	CAZyme	NZ_GL882612	HMPREF9446_RS02740	2256	3548	-	GH158| GH158|3.2.1.39
CGC1	null	NZ_GL882612	HMPREF9446_RS02745	3688	4560	-	null
CGC1	null	NZ_GL882612	HMPREF9446_RS02750	4590	6122	-	null
CGC1	TC	NZ_GL882612	HMPREF9446_RS02755	6144	9326	-	1.B.14.6.1
CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NZ_GL882612	HMPREF9446_RS02735	1	2253	-	GH3
CGC1	CAZyme	NZ_GL882612	HMPREF9446_RS02740	2256	3548	-	GH158
CGC1	null	NZ_GL882612	HMPREF9446_RS02745;Parent	3688	4560	-	null
CGC1	null	NZ_GL882612	HMPREF9446_RS02750;Parent	4590	6122	-	null
CGC1	TC	NZ_GL882612	HMPREF9446_RS02755	6144	9326	-	1.B.14.6.1
