Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
BXY_32120	3.2.1.174:1	GH106(20-914)	GH106_e0	GH106	3
BXY_32130	3.2.1.173:1	GH28(48-395)	GH28_e34	GH28	3
BXY_32150	3.2.1.173:1	GH28(87-458)	GH28_e139	GH28	3
BXY_32160	-	CE12(163-367)	CE12_e37	CE12	3
BXY_32170	3.2.1.23:1	GH2(22-699)	GH2_e125	GH2	3
BXY_32190	3.2.1.55:2|3.2.1.55:1|-	GH43_18(52-286)+GH43_34(303-595)+CBM32(655-769)	GH43_e84+GH43_e191+CBM32_e123	CBM32+GH43_18+GH43_34	3
BXY_32200	-	GH42(43-417)	GH42_e27	GH42	3
BXY_32210	3.2.1.67:1	GH28(73-449)	GH28_e133	GH28	3
BXY_32320	-	PL11(71-703)	PL11_e3	PL11_1	3
BXY_32330	4.2.2.24:1	PL26(239-1127)	PL26_e0	PL26	3
BXY_32340	-|-	CE12(66-285)+CE12(317-532)	CE12_e36+CE12_e36	CE12	3
BXY_32350	3.2.1.172:1	GH105(45-361)	GH105_e17	GH105	3
BXY_32360	4.2.2.23:15|4.2.2.24:5	PL11_1(30-601)	PL11_e0	PL11_1	3
BXY_32370	3.2.1.172:1	GH105(96-432)	GH105_e7	GH105	3
