HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH106.hmm	824	BXY_32120	921	0	3	823	20	914	0.9951456310679612
GH28.hmm	325	BXY_32130	467	3.8e-68	7	309	48	395	0.9292307692307692
GH28.hmm	325	BXY_32150	511	1.5e-63	6	313	87	458	0.9446153846153846
CE12.hmm	210	BXY_32160	412	5.4e-75	1	209	163	367	0.9904761904761905
GH2.hmm	752	BXY_32170	958	3.1e-71	27	533	22	699	0.6728723404255319
GH43_18.hmm	229	BXY_32190	770	1.2e-90	2	229	52	286	0.9912663755458515
GH43_34.hmm	280	BXY_32190	770	2.1e-71	1	280	303	595	0.9964285714285714
CBM32.hmm	124	BXY_32190	770	2.4e-17	9	121	655	769	0.9032258064516129
GH42.hmm	371	BXY_32200	696	4e-126	2	370	43	417	0.9919137466307277
GH28.hmm	325	BXY_32210	460	7.8e-74	3	321	73	449	0.9784615384615385
PL11.hmm	606	BXY_32320	711	1.7e-185	20	576	71	703	0.9174917491749175
PL26.hmm	862	BXY_32330	1132	0	2	857	239	1127	0.9918793503480279
CE12.hmm	210	BXY_32340	544	9.9e-55	2	210	66	285	0.9904761904761905
CE12.hmm	210	BXY_32340	544	1.2e-63	2	210	317	532	0.9904761904761905
GH105.hmm	332	BXY_32350	363	1.2e-95	10	332	45	361	0.9698795180722891
PL11_1.hmm	583	BXY_32360	613	3e-275	3	574	30	601	0.9794168096054888
GH105.hmm	332	BXY_32370	469	8.6e-93	9	332	96	432	0.9728915662650602
