Reg_prop	24	BXY_32390	1470	3.9e-07	1	23	60	82	0.9166666666666666
Reg_prop	24	BXY_32390	1470	4.9e-07	1	23	105	127	0.9166666666666666
Reg_prop	24	BXY_32390	1470	2.2e-06	3	24	499	520	0.875
Reg_prop	24	BXY_32390	1470	1.2e-07	1	24	539	562	0.9583333333333334
Reg_prop	24	BXY_32390	1470	5.1e-07	3	24	636	657	0.875
Reg_prop	24	BXY_32390	1470	3.7e-05	2	23	683	704	0.875
Y_Y_Y	66	BXY_32390	1470	1.7e-17	1	65	817	880	0.9696969696969697
HisKA	64	BXY_32390	1470	7.2e-15	5	63	932	993	0.90625
HATPase_c	111	BXY_32390	1470	2.2e-22	2	110	1041	1149	0.972972972972973
Response_reg	112	BXY_32390	1470	2.1e-26	1	111	1198	1308	0.9821428571428571
HTH_18	81	BXY_32390	1470	7.2e-19	2	80	1365	1443	0.9629629629629629
