Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
SIP56247.1	3.2.1.4:3|3.2.1.-:1	GH5_2(48-281)	GH5_e79	GH5_2	3
SIP56248.1	3.2.1.-:1	GH5_7(66-378)	GH5_e6	GH5_7	3
SIP56249.1	-	CE7(123-419)	CE7_e15	CE7	3
SIP56251.1	-	GH2(20-676)	GH2_e20	GH2	3
SIP56252.1	2.4.1.20:14|2.4.1.49:1	GH94(3-824)	GH94_e12	GH94	3
SIP56254.1	3.2.1.22:1	GH97(12-668)	GH97_e1	GH97	3
SIP56263.1	-	GH127(41-624)	GH127_e7	GH127	3
SIP56265.1	3.2.1.185:1	GH127(23-561)	GH127_e4	GH127	3
SIP56253.1	-	-	-	CE12	1
SIP56260.1	-	-	-	CBM0	1
SIP56264.1	-	-	-	GH43_26	1
