Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
SIP56247.1	SIP56247.1|GH5_2	100	326	0	0	1	326	1	326	1.05e-253	691
SIP56248.1	SIP56248.1|GH5_7	100	430	0	0	1	430	1	430	0.0	899
SIP56249.1	SIP56249.1|CE7	100	427	0	0	1	427	1	427	0.0	895
SIP56251.1	SIP56251.1|GH2	100	814	0	0	1	814	1	814	0.0	1722
SIP56252.1	SIP56252.1|GH94	100	828	0	0	1	828	1	828	0.0	1753
SIP56253.1	ARA85284.1|CE12	57.3	335	139	3	2	334	41	373	1.36e-127	382
SIP56254.1	SIP56254.1|GH97	100	671	0	0	1	671	1	671	0.0	1379
SIP56260.1	BCA48091.1|CBM0	52.6	685	317	4	149	825	16	700	1.96e-260	744
SIP56263.1	SIP56263.1|GH127	100	696	0	0	1	696	1	696	0.0	1452
SIP56264.1	UZJ45781.1|GH43_26	45.6	353	185	4	27	375	378	727	2.72e-105	330
SIP56265.1	SIP56265.1|GH127	100	788	0	0	1	788	1	788	0.0	1618
