PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0626	CDS	JAATOH010000049	HCN73_09275	1	8	-	null
PUL0626	CDS	JAATOH010000049	HCN73_09280	1	1320	-	null
PUL0626	CAZyme	JAATOH010000049	HCN73_09295	4387	6855	-	GH43_4
PUL0626	CDS	JAATOH010000049	HCN73_09300	7142	8740	+	null
PUL0626	CDS	JAATOH010000049	HCN73_09305	8759	9487	+	null
PUL0626	TF	JAATOH010000049	HCN73_09310	9628	10722	+	GntR
PUL0626	CDS	JAATOH010000049	HCN73_09315	10861	11820	-	null
PUL0626	CAZyme	JAATOH010000049	HCN73_09320	11804	13675	-	GH2
PUL0626	CDS	JAATOH010000049	HCN73_09325	13847	15274	+	null
PUL0626	CAZyme	JAATOH010000049	HCN73_09330	15456	17120	-	GH43_4
PUL0626	CAZyme	JAATOH010000049	HCN73_09335	17297	19243	+	GH127
PUL0626	CAZyme	JAATOH010000049	HCN73_09340	19246	20694	+	GH51
PUL0626	CDS	JAATOH010000049	HCN73_09345	20787	21416	-	null
PUL0626	TC	JAATOH010000049	HCN73_09350	21661	23019	+	3.A.1.1.34
PUL0626	TC	JAATOH010000049	HCN73_09355	23093	24010	+	3.A.1.1.34
PUL0626	TC	JAATOH010000049	HCN73_09360	24027	24875	+	3.A.1.1.34
PUL0626	CDS	JAATOH010000049	HCN73_09365	24883	25554	+	null
PUL0626	CAZyme	JAATOH010000049	HCN73_09370	25634	26578	+	GH43_26
PUL0626	CAZyme	JAATOH010000049	HCN73_09375	26598	28091	+	GH51
PUL0626	CDS	JAATOH010000049	HCN73_09380	28102	29124	+	null
PUL0626	CAZyme	JAATOH010000049	HCN73_09385	29190	30458	+	GH27
PUL0626	TC	JAATOH010000049	HCN73_09390	30517	31626	-	3.A.1.1.20
PUL0626	TF	JAATOH010000049	HCN73_09395	31751	32599	-	HTH_8
PUL0626	CDS	JAATOH010000049	HCN73_09400	32801	35200	+	null
