PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0643	CAZyme	NZ_ABJL02000007	BACINT_RS04710	1	1158	+	CE1
PUL0643	CDS	NZ_ABJL02000007	BACINT_RS04715	1189	1887	+	null
PUL0643	CAZyme	NZ_ABJL02000007	BACINT_RS04720	1890	3341	+	GH43_7+GH43_7
PUL0643	TC	NZ_ABJL02000007	BACINT_RS04725	3774	6899	+	1.B.14.6.1
PUL0643	CDS	NZ_ABJL02000007	BACINT_RS04730	6921	8642	+	null
PUL0643	CAZyme	NZ_ABJL02000007	BACINT_RS04735	9084	11000	+	CE6+CE1
PUL0643	CAZyme	NZ_ABJL02000007	BACINT_RS04740	11011	12159	+	CE1
PUL0643	CDS	NZ_ABJL02000007	BACINT_RS04745	12188	13168	+	null
PUL0643	CAZyme	NZ_ABJL02000007	BACINT_RS04750	13304	14362	+	GH43_17
PUL0643	CAZyme	NZ_ABJL02000007	BACINT_RS04755	14411	16999	+	GH3
PUL0643	CAZyme	NZ_ABJL02000007	BACINT_RS04760	17100	18431	+	GH43_2+CBM6
PUL0643	TF	NZ_ABJL02000007	BACINT_RS04765	18451	22545	+	HTH_AraC+HTH_AraC
