dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CBM48_e68	CBM48:192|CE0:190|CE6:12|GH10:3|CE1:2|GH62:1	3.1.1.73:1|3.2.1.55:1|3.2.1.8:1	glycogen	61	BACINT_RS04710	385	2.6e-24	1	60	50	107	0.9672131147540983	0.9672131147540983
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	BACINT_RS04710	385	3.5e-64	3	206	158	378	0.9854368932038835	0.9854368932038835
GH43_e167	CBM13:44|GH43_7:43|GH43:2	-	-	239	BACINT_RS04720	483	3.4e-118	1	239	31	301	0.99581589958159	0.99581589958159
CBM13_e223	CBM13:44|GH43_7:43|GH43:1	-	xylan	114	BACINT_RS04720	483	2.8e-63	1	114	368	481	0.9912280701754386	0.9912280701754386
CE6_e2	CE6:151|CE0:39|CBM48:38|GH95:11|GH51:3|GH97:2|GH43_10:2|GH43_17:1|CBM5:1|CBM4:1|GH10:1|GH43_28:1|CBM88:1|CBM9:1	3.1.1.72:6|3.1.1.73:2	xylan	111	BACINT_RS04735	638	1e-57	1	111	84	194	0.990990990990991	0.990990990990991
CBM48_e9	CBM48:44|CE0:41|CE6:26|CBM6:6|GH43_29:6	3.1.1.72:2|3.1.1.73:1	glycogen	60	BACINT_RS04735	638	1.9e-37	1	60	304	363	0.9833333333333333	0.9833333333333333
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	BACINT_RS04735	638	1.3e-63	3	205	414	631	0.9805825242718447	0.9805825242718447
CBM48_e68	CBM48:192|CE0:190|CE6:12|GH10:3|CE1:2|GH62:1	3.1.1.73:1|3.2.1.55:1|3.2.1.8:1	glycogen	61	BACINT_RS04740	382	1.5e-27	1	60	49	108	0.9672131147540983	0.9672131147540983
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	BACINT_RS04740	382	1.3e-63	3	206	159	377	0.9854368932038835	0.9854368932038835
GH43_e193	GH43_17:9	-	-	283	BACINT_RS04750	352	3.1e-130	1	281	51	321	0.9893992932862191	0.9893992932862191
GH3_e0	GH3:1894|GH67:1|CBM6:1|CBM32:1	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	xylan, arabinan, beta-glucan, beta-glucan	251	BACINT_RS04755	862	1.2e-113	3	246	55	303	0.9681274900398407	0.9681274900398407
GH43_e229	CBM6:49|GH43_2:49|GH8:5|GH43:1	-	-	273	BACINT_RS04760	443	2.1e-156	1	273	32	301	0.9963369963369964	0.9963369963369964
CBM6_e71	CBM6:55|GH43_2:53|GH8:5|GH43:2	-	beta-glucan, xylan, cellulose	99	BACINT_RS04760	443	1.3e-40	2	99	346	443	0.9797979797979798	0.9797979797979798
