HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CE1.hmm	227	BACINT_RS04710	385	3.3e-58	3	221	150	379	0.960352422907489
GH43_7.hmm	274	BACINT_RS04720	483	3.9e-154	1	274	30	300	0.9963503649635036
GH43_7.hmm	274	BACINT_RS04720	483	1.2e-19	32	150	359	451	0.4306569343065693
CE6.hmm	99	BACINT_RS04735	638	3.5e-36	2	99	83	193	0.9797979797979798
CE1.hmm	227	BACINT_RS04735	638	5.9e-56	4	222	407	634	0.960352422907489
CE1.hmm	227	BACINT_RS04740	382	1.6e-55	2	221	150	378	0.9647577092511013
GH43_17.hmm	266	BACINT_RS04750	352	7.8e-97	1	263	50	320	0.9849624060150376
GH3.hmm	216	BACINT_RS04755	862	3.2e-70	3	215	56	300	0.9814814814814815
GH43_2.hmm	273	BACINT_RS04760	443	5.3e-120	1	273	31	300	0.9963369963369964
CBM6.hmm	138	BACINT_RS04760	443	1.6e-24	43	136	350	442	0.6739130434782609
