Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
Cpap_3302	3.2.1.8:9|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	GH10(59-325)+CBM6(347-468)	GH10_e6+CBM6_e34	CBM6+GH10	3
Cpap_3303	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1|3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	GH43_29(26-307)+CBM6(329-452)	GH43_e59+CBM6_e0	CBM6+GH43_29	3
Cpap_3304	-|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	CE1(51-264)+CBM6(287-408)	CE1_e22+CBM6_e34	CBM6+CE0	3
Cpap_3305	-|-|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	GH43_10(36-300)+CBM91(344-535)+CBM6(551-675)	GH43_e41+CBM91_e20+CBM6_e34	CBM6+CBM91+GH43_10	3
Cpap_3306	-|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	GH62(47-295)+CBM6(325-464)	GH62_e2+CBM6_e34	CBM6+GH62	3
Cpap_3307	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1|3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	GH43_29(26-296)+CBM6(317-440)	GH43_e59+CBM6_e0	CBM6+GH43_29	3
Cpap_3309	3.2.1.22:58|2.4.1.-:1|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	GH27(136-373)+CBM6(408-529)	GH27_e14+CBM6_e34	CBM6+GH27	3
Cpap_3310	-|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	GH59(46-775)+CBM6(928-1049)	GH59_e1+CBM6_e34	CBM6+GH59	3
Cpap_3311	-|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1|-	GH62(46-294)+CBM6(324-462)+CE6(611-702)	GH62_e2+CBM6_e34+CE6_e6	CBM6+CE6+GH62	3
Cpap_3312	3.2.1.-:3|3.2.1.63:2|-	GH95(75-797)+CBM32(830-954)	GH95_e1+CBM32_e117	CBM32+GH95	3
Cpap_3313	-|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	CE1(57-270)+CBM6(295-417)	CE1_e22+CBM6_e34	CBM6+CE0	3
Cpap_3314	3.2.1.8:16|3.2.1.136:8|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	GH30_8(35-378)+CBM6(437-558)	GH30_e78+CBM6_e34	CBM6+GH30_8	3
