Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
Cpap_3302	WES35361.1|CBM6|GH10	100	541	0	0	1	541	1	541	0.0	1066
Cpap_3303	WES36584.1|CBM6|GH43_29	100	524	0	0	1	524	1	524	0.0	1041
Cpap_3304	AEY65169.1|CBM6|CE0	90.5	452	43	0	1	452	14	465	4.42e-312	852
Cpap_3305	WES35363.1|CBM6|CBM91|GH43_10	100	716	0	0	1	716	1	716	0.0	1472
Cpap_3306	WES35364.1|CBM6|GH62	100	539	0	0	1	539	1	539	0.0	1048
Cpap_3307	WES35365.1|CBM6|GH43_29	100	482	0	0	1	482	1	482	0.0	1013
Cpap_3309	WES35367.1|CBM6|GH27	100	604	0	0	1	604	1	604	0.0	1176
Cpap_3310	ACL75594.1|CBM6|GH59	87.9	1121	135	1	1	1120	1	1121	0.0	1971
Cpap_3311	WES35368.1|CBM6|CE6|GH62	100	780	0	0	1	780	1	780	0.0	1549
Cpap_3312	WES35369.1|CBM32|GH95	100	1000	0	0	1	1000	1	1000	0.0	2018
Cpap_3313	QNU68934.1|CBM6|CE0	67.8	428	136	2	24	449	22	449	2.53e-213	603
Cpap_3314	WES35371.1|CBM6|GH30_8	100	629	0	0	1	629	1	629	0.0	1188
