CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	NZ_CAWLDM010000001	ACI5KW_RS03060	1	1263	-	2.A.1.82.4
CGC1	TF	NZ_CAWLDM010000001	ACI5KW_RS03065	1470	2390	+	HTH_1
CGC1	null	NZ_CAWLDM010000001	ACI5KW_RS03070;Parent	2581	5292	-	null
CGC1	null	NZ_CAWLDM010000001	ACI5KW_RS03075;Parent	5323	6933	-	null
CGC1	null	NZ_CAWLDM010000001	ACI5KW_RS03080;Parent	8211	9656	-	null
CGC1	null	NZ_CAWLDM010000001	ACI5KW_RS03085;Parent	9725	11083	-	null
CGC1	null	NZ_CAWLDM010000001	ACI5KW_RS03090;Parent	11358	12836	-	null
CGC1	null	NZ_CAWLDM010000001	ACI5KW_RS03095;Parent	12955	14469	-	null
CGC1	null	NZ_CAWLDM010000001	ACI5KW_RS03100;Parent	14542	15891	-	null
CGC1	null	NZ_CAWLDM010000001	ACI5KW_RS03105;Parent	16254	17873	-	null
CGC1	CAZyme	NZ_CAWLDM010000001	ACI5KW_RS03110	18240	20093	-	GH29
CGC1	null	NZ_CAWLDM010000001	ACI5KW_RS03115;Parent	20252	20431	-	null
CGC1	null	NZ_CAWLDM010000001	ACI5KW_RS03120;Parent	20449	21828	-	null
CGC1	null	NZ_CAWLDM010000001	ACI5KW_RS03125;Parent	22088	24484	-	null
CGC1	null	NZ_CAWLDM010000001	ACI5KW_RS03130;Parent	24563	25834	-	null
CGC1	CAZyme	NZ_CAWLDM010000001	ACI5KW_RS03135	25990	27501	-	GH29
CGC1	null	NZ_CAWLDM010000001	ACI5KW_RS03140;Parent	27992	28153	-	null
CGC1	STP	NZ_CAWLDM010000001	ACI5KW_RS03145	28234	29484	-	SBP_bac_10
CGC1	STP	NZ_CAWLDM010000001	ACI5KW_RS03150	29580	31316	-	FecR
CGC1	STP	NZ_CAWLDM010000001	ACI5KW_RS03155	31317	31844	-	Sigma70_r2|Sigma70_r4_2
CGC1	null	NZ_CAWLDM010000001	ACI5KW_RS03160;Parent	32397	33944	-	null
CGC1	null	NZ_CAWLDM010000001	ACI5KW_RS03165;Parent	34042	35193	-	null
CGC1	CAZyme	NZ_CAWLDM010000001	ACI5KW_RS03170	35245	37401	-	GH141
