CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	NC_012034	ATHE_RS04240	1	1671	+	3.A.1.1.29
CGC1	null	NC_012034	ATHE_RS04245;Parent	1782	2867	+	null
CGC1	TC	NC_012034	ATHE_RS04250	3007	4683	+	3.A.1.1.10
CGC1	TC	NC_012034	ATHE_RS04255	4806	5744	+	3.A.1.1.29
CGC1	TC	NC_012034	ATHE_RS04260	5778	6677	+	3.A.1.1.29
CGC1	TC	NC_012034	ATHE_RS04265	6795	8627	+	8.A.59.2.1
CGC1	TF	NC_012034	ATHE_RS04270	8650	10179	+	HTH_AraC|HTH_AraC
CGC1	CAZyme	NC_012034	ATHE_RS04275	10239	12320	+	GH67
CGC1	null	NC_012034	ATHE_RS04280;Parent	12356	13975	+	null
CGC1	null	NC_012034	ATHE_RS04285;Parent	14006	15097	+	null
CGC1	CAZyme	NC_012034	ATHE_RS04290	15237	17669	+	GH2
