Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
ROSINTL182_05469	-	GH1(5-202)	GH1_e86	GH1	3
ROSINTL182_05470	-	GH1(2-232)	GH1_e86	GH1	3
ROSINTL182_05471	3.1.1.-:1	CE17(37-200)+CBM35inCE17(222-369)	CE17_e0	CE17+3.1.1.-	3
ROSINTL182_05472	3.1.1.6:3	CE2(2-80)	CE2_e6	-	2
ROSINTL182_05473	3.1.1.6:3	CE2(163-260)	CE2_e6	CE2+3.1.1.6	3
ROSINTL182_05474	2.4.1.319:4|2.4.1.320:2	GH130_2(28-325)	GH130_e13	GH130+2.4.1.319	3
ROSINTL182_05475	2.4.1.281:5	GH130_1(53-364)	GH130_e6	GH130+2.4.1.281	3
ROSINTL182_05481	3.2.1.22:25	GH36(11-710)	GH36_e0	GH36+3.2.1.22	3
ROSINTL182_05483	3.2.1.78:4|3.2.1.25:2	GH113(4-303)	GH113_e21	GH113+3.2.1.25	3
ROSINTL182_05476	-	-	-	GH130	1
ROSINTL182_05482	-	-	-	GH130_1	1
