Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
ROSINTL182_05469	VCV21232.1|GH1	100	522	0	0	1	522	247	768	0.0	1102
ROSINTL182_05470	CBL12378.1|GH1	100	232	0	0	1	232	1	232	3.36e-170	492
ROSINTL182_05471	EEV02614.1|CE17|3.1.1.-	100	372	0	0	1	372	1	372	1.90e-277	755
ROSINTL182_05473	EEV02550.1|CE2|3.1.1.6	100	260	0	0	1	260	1	260	4.95e-203	558
ROSINTL182_05474	EEV02551.1|GH130|2.4.1.319	100	340	0	0	1	340	1	340	1.46e-267	728
ROSINTL182_05475	EEV02552.1|GH130|2.4.1.281	100	397	0	0	1	397	1	397	6.39e-300	814
ROSINTL182_05476	CDZ25110.1|GH130	45.4	403	197	5	7	409	5	384	2.68e-126	387
ROSINTL182_05481	EEV02558.1|GH36|3.2.1.22	100	729	0	0	1	729	1	729	0.0	1501
ROSINTL182_05482	BEI59196.1|GH130_1	66.7	562	187	0	7	568	384	945	1.21e-271	772
ROSINTL182_05483	EEV02560.1|GH113|3.2.1.25	100	310	0	0	1	310	1	310	2.40e-243	664
