Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
Bovatus_RS21500	3.2.1.174:1	GH106(21-915)	GH106_e0	GH106	3
Bovatus_RS21505	3.2.1.173:1	GH28(48-395)	GH28_e34	GH28	3
Bovatus_RS21515	3.2.1.173:1	GH28(87-454)	GH28_e139	GH28	3
Bovatus_RS21520	-	CE12(163-367)	CE12_e37	CE12	3
Bovatus_RS21525	3.2.1.23:1	GH2(22-669)	GH2_e125	GH2	3
Bovatus_RS21530	3.2.1.55:2|3.2.1.55:1|-	GH43_18(67-301)+GH43_34(318-611)	GH43_e84+GH43_e191+CBM32_e123	CBM32+GH43_18+GH43_34	3
Bovatus_RS21535	-	GH42(62-436)	GH42_e27	GH42	3
Bovatus_RS21545	3.2.1.67:1	GH28(76-450)	GH28_e133	GH28	3
Bovatus_RS21600	-	PL11_1(72-690)	PL11_e3	PL11_1	3
Bovatus_RS21605	4.2.2.24:1	PL26(239-1128)	PL26_e0	PL26	3
Bovatus_RS21615	-|-	CE12(66-285)+CE12(317-532)	CE12_e36+CE12_e36	CE12	3
Bovatus_RS21620	3.2.1.172:1	GH105(62-378)	GH105_e17	GH105	3
Bovatus_RS21625	4.2.2.23:15|4.2.2.24:5	PL11_1(30-601)	PL11_e0	PL11_1	3
Bovatus_RS21630	3.2.1.172:1	GH105(96-431)	GH105_e7	GH105	3
Bovatus_RS21645	-	CE4(37-162)	CE4_e259	CE0+CE12	3
Bovatus_RS21650	3.2.1.172:1	GH105(58-374)	GH105_e17	GH105	3
