dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH106_e0	GH106:213|CE12:1	3.2.1.174:1	pectin	900	Bovatus_RS21500	921	0	1	900	24	916	0.9988888888888889	0.9988888888888889
GH28_e34	GH28:169	3.2.1.173:1	pectin	355	Bovatus_RS21505	467	9.1e-177	2	354	50	395	0.9915492957746479	0.9915492957746479
GH28_e139	GH28:134|GH43_18:1	3.2.1.173:1	pectin	371	Bovatus_RS21515	511	2.2e-184	1	370	89	459	0.9946091644204852	0.9946091644204852
CE12_e37	CE12:111|GH106:1	-	-	206	Bovatus_RS21520	412	6e-110	1	206	164	369	0.9951456310679612	0.9951456310679612
GH2_e125	GH2:201|CBM32:11	3.2.1.23:1	beta-galactan	702	Bovatus_RS21525	958	0	2	696	22	712	0.9886039886039886	0.9886039886039886
GH43_e84	GH43_18:91|GH43_34:66|CBM32:58|GH42:9|CBM42:1|GH43_20:1|GH43:1	3.2.1.55:2	xylan	233	Bovatus_RS21530	785	2.7e-113	1	232	68	301	0.9914163090128756	0.9914163090128756
GH43_e191	GH43_34:11|CBM32:8|CBM13:2	3.2.1.55:1	xylan	281	Bovatus_RS21530	785	2.6e-79	1	281	319	612	0.99644128113879	0.99644128113879
CBM32_e123	CBM32:31|GH43_34:30|GH43_18:28	-	host glycan	106	Bovatus_RS21530	785	7.4e-62	1	106	679	784	0.9905660377358491	0.9905660377358491
GH42_e27	GH42:77|GH43_18:9	-	-	376	Bovatus_RS21535	716	6.1e-198	1	375	63	436	0.9946808510638298	0.9946808510638298
GH28_e133	GH28:82|PL11_1:1	3.2.1.67:1	pectin	363	Bovatus_RS21545	461	6.9e-201	1	362	79	437	0.9944903581267218	0.9944903581267218
PL11_e3	PL11_1:15|PL11:1	-	-	619	Bovatus_RS21600	694	0	1	619	73	691	0.9983844911147012	0.9983844911147012
PL26_e0	PL26:692	4.2.2.24:1	pectin	860	Bovatus_RS21605	1132	0	1	858	240	1130	0.9965116279069768	0.9965116279069768
CE12_e36	CE12:119|CBM13:1	-	-	217	Bovatus_RS21615	544	3.2e-90	1	217	66	286	0.9953917050691244	0.9953917050691244
CE12_e36	CE12:119|CBM13:1	-	-	217	Bovatus_RS21615	544	1.1e-97	1	217	317	533	0.9953917050691244	0.9953917050691244
GH105_e17	GH105:172|CE12:1	3.2.1.172:1	pectin	319	Bovatus_RS21620	380	3.8e-180	2	319	61	379	0.9937304075235109	0.9937304075235109
PL11_e0	PL11_1:1283|CBM2:80|CE12:47|PL11:27|CBM35:19|CBM13:13|PL11_2:8|CBM3:6|CBM37:2|GH28:1|GH128:1|CBM0:1|CBM84:1|CBM88:1|CBM5:1|CBM66:1|GH44:1|GH105:1|CBM10:1	4.2.2.23:15|4.2.2.24:5	pectin, pectin	607	Bovatus_RS21625	613	3e-274	3	574	30	601	0.9406919275123559	0.9406919275123559
GH105_e7	GH105:159|CE12:9	3.2.1.172:1	pectin	331	Bovatus_RS21630	469	4.2e-167	2	330	101	431	0.9909365558912386	0.9909365558912386
CE4_e259	CE4:656	-	-	115	Bovatus_RS21645	322	3.6e-21	4	111	39	154	0.9304347826086956	0.9304347826086956
GH105_e17	GH105:172|CE12:1	3.2.1.172:1	pectin	319	Bovatus_RS21650	392	2.8e-181	2	319	57	375	0.9937304075235109	0.9937304075235109
