HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH106.hmm	824	Bovatus_RS21500	921	0	3	823	21	915	0.9951456310679612
GH28.hmm	325	Bovatus_RS21505	467	5.9e-67	7	309	48	395	0.9292307692307692
GH28.hmm	325	Bovatus_RS21515	511	8.1e-64	6	309	87	454	0.9323076923076923
CE12.hmm	210	Bovatus_RS21520	412	1.2e-75	1	209	163	367	0.9904761904761905
GH2.hmm	752	Bovatus_RS21525	958	3.5e-71	27	491	22	669	0.6170212765957447
GH43_18.hmm	229	Bovatus_RS21530	785	1.7e-90	2	229	67	301	0.9912663755458515
GH43_34.hmm	280	Bovatus_RS21530	785	6e-70	1	280	318	611	0.9964285714285714
GH42.hmm	371	Bovatus_RS21535	716	4.4e-124	2	370	62	436	0.9919137466307277
GH28.hmm	325	Bovatus_RS21545	461	2.7e-73	5	321	76	450	0.9723076923076923
PL11_1.hmm	583	Bovatus_RS21600	694	4.6e-185	18	574	72	690	0.9536878216123499
PL26.hmm	862	Bovatus_RS21605	1132	0	2	858	239	1128	0.9930394431554525
CE12.hmm	210	Bovatus_RS21615	544	9.2e-55	2	210	66	285	0.9904761904761905
CE12.hmm	210	Bovatus_RS21615	544	2.5e-63	2	210	317	532	0.9904761904761905
GH105.hmm	332	Bovatus_RS21620	380	1.2e-95	10	332	62	378	0.9698795180722891
PL11_1.hmm	583	Bovatus_RS21625	613	6.3e-275	3	574	30	601	0.9794168096054888
GH105.hmm	332	Bovatus_RS21630	469	1.3e-92	9	331	96	431	0.9698795180722891
CE4.hmm	130	Bovatus_RS21645	322	1.2e-30	7	122	37	162	0.8846153846153846
GH105.hmm	332	Bovatus_RS21650	392	2.5e-95	10	332	58	374	0.9698795180722891
