HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH18.hmm	296	Bovatus_RS02825	354	3.8e-18	7	240	88	342	0.7871621621621622
CBM32.hmm	124	Bovatus_RS02835	321	5.7e-17	16	122	211	316	0.8548387096774194
GH163.hmm	251	Bovatus_RS02840	733	1.6e-112	1	251	196	450	0.9960159362549801
GH130_2.hmm	300	Bovatus_RS02850	322	1.1e-160	1	300	19	317	0.9966666666666667
GH92.hmm	491	Bovatus_RS02855	757	4.8e-180	2	487	270	756	0.9877800407331976
PL1_2.hmm	183	Bovatus_RS02885	579	1.2e-65	1	183	135	328	0.994535519125683
GH43_18.hmm	229	Bovatus_RS02895	307	3.8e-90	2	229	66	292	0.9912663755458515
GH143.hmm	556	Bovatus_RS02900	1106	8.8e-296	3	556	18	567	0.9946043165467626
GH142.hmm	479	Bovatus_RS02900	1106	1e-234	1	479	630	1098	0.9979123173277662
CBM67.hmm	176	Bovatus_RS02905	944	2.2e-36	27	171	201	355	0.8181818181818182
GH78.hmm	504	Bovatus_RS02905	944	2e-162	7	504	400	924	0.9861111111111112
GH28.hmm	325	Bovatus_RS02910	450	7.6e-98	10	310	53	425	0.9230769230769231
CE19.hmm	332	Bovatus_RS02915	654	1.6e-144	2	331	118	449	0.9909638554216867
CBM67.hmm	176	Bovatus_RS02925	1286	1.4e-39	8	169	153	325	0.9147727272727273
GH78.hmm	504	Bovatus_RS02925	1286	1e-164	7	504	355	884	0.9861111111111112
GH33.hmm	342	Bovatus_RS02925	1286	6.9e-40	13	325	917	1269	0.9122807017543859
GH140.hmm	412	Bovatus_RS02930	488	3.6e-178	1	412	36	462	0.9975728155339806
GH105.hmm	332	Bovatus_RS02935	400	3.5e-123	5	332	49	396	0.9849397590361446
GH95.hmm	722	Bovatus_RS02940	864	2.1e-293	6	713	30	759	0.9792243767313019
