dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH18_e37	GH18:97	-	-	235	Bovatus_RS02825	354	1.8e-109	1	234	63	312	0.9914893617021276	0.9914893617021276
GH163_e7	GH163:34	3.2.1.-:1	host glycan	253	Bovatus_RS02840	733	6.2e-157	1	252	198	449	0.9920948616600791	0.9920948616600791
GH130_e13	GH130:541	2.4.1.319:4|2.4.1.320:2	beta-mannan, beta-mannan	300	Bovatus_RS02850	322	2.9e-156	1	299	20	317	0.9933333333333333	0.9933333333333333
GH92_e13	GH92:281	3.2.1.24:1	host glycan	487	Bovatus_RS02855	757	3.7e-254	1	486	271	756	0.9958932238193019	0.9958932238193019
PL1_e77	PL1_2:202|PL1:4	-	-	191	Bovatus_RS02885	579	1.6e-109	1	191	136	329	0.9947643979057592	0.9947643979057592
GH43_e173	GH43_18:113|GH29:4|CBM42:1|GH43_20:1|GH28:1|PL1_2:1	3.2.1.55:2	xylan	227	Bovatus_RS02895	307	2e-124	1	226	67	292	0.9911894273127754	0.9911894273127754
GH143_e0	GH142:47|GH143:47	3.2.1.185:1|3.2.1.-:1	pectin	546	Bovatus_RS02900	1106	0	1	546	22	568	0.9981684981684982	0.9981684981684982
GH142_e0	GH142:115|GH143:47	3.2.1.185:1|3.2.1.-:1	pectin	471	Bovatus_RS02900	1106	6.1e-245	1	470	631	1097	0.9957537154989384	0.9957537154989384
CBM67_e27	CBM67:9|GH78:9	-	rhamnose	168	Bovatus_RS02905	944	1.3e-71	16	167	201	352	0.8988095238095238	0.8988095238095238
GH78_e43	GH78:163|CBM67:8|GH137:1	3.2.1.40:1	alpha-rhamnoside	515	Bovatus_RS02905	944	1.4e-235	4	515	400	925	0.9922330097087378	0.9922330097087378
GH28_e10	GH28:407|CE8:1|CE19:1|GH43_18:1	3.2.1.67:1	pectin	343	Bovatus_RS02910	450	1.1e-145	3	340	53	419	0.9825072886297376	0.9825072886297376
CE19_e0	CE19:46|GH28:1	3.1.1.11:1	pectin	328	Bovatus_RS02915	654	7e-192	2	328	120	446	0.9939024390243902	0.9939024390243902
CBM67_e27	CBM67:9|GH78:9	-	rhamnose	168	Bovatus_RS02925	1286	7.7e-55	6	164	162	321	0.9404761904761905	0.9404761904761905
GH78_e2	GH78:144|GH33:56|CBM67:6	3.2.1.40:1|3.2.1.-:1	alpha-rhamnoside	517	Bovatus_RS02925	1286	9.3e-257	4	517	354	884	0.9922630560928434	0.9922630560928434
GH33_e82	GH33:118|GH78:56	3.2.1.40:1|3.2.1.-:1	pectin	297	Bovatus_RS02925	1286	1.1e-147	2	297	920	1270	0.9932659932659933	0.9932659932659933
GH140_e1	GH140:160	3.2.1.-:1	pectin	432	Bovatus_RS02930	488	9.4e-198	1	432	38	463	0.9976851851851852	0.9976851851851852
GH105_e2	GH105:48	3.2.1.-:1	ulvan	346	Bovatus_RS02935	400	1.7e-189	1	346	51	397	0.9971098265895953	0.9971098265895953
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	Bovatus_RS02940	864	0	4	730	30	760	0.9771197846567967	0.9771197846567967
