CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	NZ_CP012938	Bovatus_RS02815	1	3327	+	1.B.14.6.13
CGC1	TC	NZ_CP012938	Bovatus_RS02820	3346	4923	+	8.A.46.2.2
CGC1	CAZyme	NZ_CP012938	Bovatus_RS02825	4956	6020	+	GH18
CGC1	null	NZ_CP012938	Bovatus_RS02830;Parent	6043	7254	+	null
CGC1	null	NZ_CP012938	Bovatus_RS02835;Parent	7278	8243	+	null
CGC1	CAZyme	NZ_CP012938	Bovatus_RS02840	8408	10609	+	GH163
CGC1	null	NZ_CP012938	Bovatus_RS02845;Parent	10708	12036	+	null
CGC1	CAZyme	NZ_CP012938	Bovatus_RS02850	12053	13021	+	GH130_2
CGC1	CAZyme	NZ_CP012938	Bovatus_RS02855	13029	15302	+	GH92
CGC1	null	NZ_CP012938	Bovatus_RS02860;Parent	15457	17118	+	null
CGC1	null	NZ_CP012938	Bovatus_RS02865;Parent	17418	18311	+	null
CGC1	null	NZ_CP012938	Bovatus_RS02870;Parent	18483	20006	+	null
CGC1	TC	NZ_CP012938	Bovatus_RS02875	20037	23423	+	1.B.14.6.1
CGC1	null	NZ_CP012938	Bovatus_RS02880;Parent	23436	25649	+	null
CGC1	CAZyme	NZ_CP012938	Bovatus_RS02885	25855	27594	+	PL1_2
CGC1	null	NZ_CP012938	Bovatus_RS02890;Parent	27597	28265	+	null
CGC1	CAZyme	NZ_CP012938	Bovatus_RS02895	28471	29394	+	GH43_18
CGC1	CAZyme	NZ_CP012938	Bovatus_RS02900	29426	32746	+	GH143|GH142
CGC1	CAZyme	NZ_CP012938	Bovatus_RS02905	33038	35872	+	CBM67|GH78
CGC1	CAZyme	NZ_CP012938	Bovatus_RS02910	36073	37425	+	GH28
CGC1	CAZyme	NZ_CP012938	Bovatus_RS02915	37522	39486	+	CE19
CGC1	null	NZ_CP012938	Bovatus_RS02920;Parent	39719	40606	-	null
CGC1	CAZyme	NZ_CP012938	Bovatus_RS02925	40720	44580	-	CBM67|GH78|GH33
CGC1	CAZyme	NZ_CP012938	Bovatus_RS02930	44612	46078	-	GH140
CGC1	CAZyme	NZ_CP012938	Bovatus_RS02935	46099	47301	-	GH105
CGC1	CAZyme	NZ_CP012938	Bovatus_RS02940	47315	49783	-	GH95
