Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
Bovatus_RS02825	-	GH18(88-342)	GH18_e37	GH18	3
Bovatus_RS02835	-	CBM32(211-316)	-	-	1
Bovatus_RS02840	3.2.1.-:1	GH163(196-450)	GH163_e7	GH163	3
Bovatus_RS02850	2.4.1.319:4|2.4.1.320:2	GH130_2(19-317)	GH130_e13	GH130	3
Bovatus_RS02855	3.2.1.24:1	GH92(270-756)	GH92_e13	GH92	3
Bovatus_RS02885	-	PL1_2(135-328)	PL1_e77	PL1_2	3
Bovatus_RS02895	3.2.1.55:2	GH43_18(66-292)	GH43_e173	GH43_18	3
Bovatus_RS02900	3.2.1.185:1|3.2.1.-:1|3.2.1.185:1|3.2.1.-:1	GH143(18-567)+GH142(630-1098)	GH143_e0+GH142_e0	GH142+GH143	3
Bovatus_RS02905	-|3.2.1.40:1	CBM67(201-355)+GH78(400-924)	CBM67_e27+GH78_e43	GH78	3
Bovatus_RS02910	3.2.1.67:1	GH28(53-425)	GH28_e10	GH28	3
Bovatus_RS02915	3.1.1.11:1	CE19(118-449)	CE19_e0	CE19	3
Bovatus_RS02925	-|3.2.1.40:1|3.2.1.-:1|3.2.1.40:1|3.2.1.-:1	CBM67(153-325)+GH78(355-884)+GH33(917-1269)	CBM67_e27+GH78_e2+GH33_e82	GH33+GH78	3
Bovatus_RS02930	3.2.1.-:1	GH140(36-462)	GH140_e1	GH140	3
Bovatus_RS02935	3.2.1.-:1	GH105(49-396)	GH105_e2	GH105	3
Bovatus_RS02940	3.2.1.-:3|3.2.1.63:2	GH95(30-759)	GH95_e1	GH95	3
