PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0642	STP	NZ_LR027880	RIL182_RS20205	1	957	-	PfkB
PUL0642	CAZyme	NZ_LR027880	RIL182_RS20210	1523	3775	-	GH36
PUL0642	CAZyme	NZ_LR027880	RIL182_RS20215	3800	5482	-	GH13_31
PUL0642	TF	NZ_LR027880	RIL182_RS20220	5564	6541	-	LacI
PUL0642	CAZyme	NZ_LR027880	RIL182_RS20225	6529	8220	-	GH32
PUL0642	CAZyme	NZ_LR027880	RIL182_RS20230	8396	9835	-	GH13_18
PUL0642	TC	NZ_LR027880	RIL182_RS20235	9918	10781	-	3.A.1.1.45
PUL0642	TC	NZ_LR027880	RIL182_RS20240	10781	11659	-	3.A.1.1.45
PUL0642	CDS	NZ_LR027880	RIL182_RS20245	11793	13187	-	null
PUL0642	CAZyme	NZ_LR027880	RIL182_RS20250	13621	17739	-	CBM86+CBM22+GH10+CBM9
PUL0642	CAZyme	NZ_LR027880	RIL182_RS20255	18044	19897	-	CBM61+GH53
