PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0669	CAZyme	NZ_GL622542	HMPREF1016_RS10680	1	1710	+	GH35
PUL0669	CAZyme	NZ_GL622542	HMPREF1016_RS10685	1754	3385	+	CE20+CE20
PUL0669	TC	NZ_GL622542	HMPREF1016_RS10690	3431	4927	+	2.A.2.3.4
PUL0669	CAZyme	NZ_GL622542	HMPREF1016_RS10695	5017	5988	+	GH43_1
PUL0669	CAZyme	NZ_GL622542	HMPREF1016_RS10700	6122	8077	+	GH67
PUL0669	TF	NZ_GL622542	HMPREF1016_RS10705	8358	12455	+	HTH_AraC+HTH_AraC
PUL0669	CAZyme	NZ_GL622542	HMPREF1016_RS10710	12531	15113	-	GH115
PUL0669	CAZyme	NZ_GL622542	HMPREF1016_RS10715	15205	17355	-	GH95
PUL0669	CAZyme	NZ_GL622542	HMPREF1016_RS20970	17345	18457	-	CE6
PUL0669	CAZyme	NZ_GL622542	HMPREF1016_RS19820	18482	20923	-	CE15+GH8
PUL0669	CAZyme	NZ_GL622542	HMPREF1016_RS10725	20987	22933	-	GH97
PUL0669	TF	NZ_GL622542	HMPREF1016_RS10730	23177	26284	+	HTH_AraC
PUL0669	CAZyme	NZ_GL622542	HMPREF1016_RS10735	26546	28999	+	GH31
PUL0669	CAZyme	NZ_GL622542	HMPREF1016_RS10740	29063	31504	-	GH43_10+CBM91
PUL0669	CAZyme	NZ_GL622542	HMPREF1016_RS10745	31548	32696	-	CE1
PUL0669	CDS	NZ_GL622542	HMPREF1016_RS10750	33008	33646	-	null
PUL0669	CDS	NZ_GL622542	HMPREF1016_RS10755	33661	34029	-	null
PUL0669	CDS	NZ_GL622542	HMPREF1016_RS10760	34340	34867	+	null
PUL0669	CAZyme	NZ_GL622542	HMPREF1016_RS10765	34908	36896	-	GH5_21
PUL0669	CAZyme	NZ_GL622542	HMPREF1016_RS10770	37001	39160	-	GH10
PUL0669	CDS	NZ_GL622542	HMPREF1016_RS10775	39172	40218	-	null
PUL0669	CDS	NZ_GL622542	HMPREF1016_RS10780	40248	42056	-	null
PUL0669	CDS	NZ_GL622542	HMPREF1016_RS10785	42073	44937	-	null
PUL0669	CDS	NZ_GL622542	HMPREF1016_RS10790	44982	46925	-	null
PUL0669	TC	NZ_GL622542	HMPREF1016_RS10795	46937	50092	-	1.B.14.6.1
PUL0669	CAZyme	NZ_GL622542	HMPREF1016_RS10800	50364	52097	-	GH43_12+CBM91
