HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH35.hmm	307	HMPREF1016_RS10680	569	1.8e-35	1	184	34	227	0.5960912052117264
CE20.hmm	249	HMPREF1016_RS10685	543	2.6e-42	3	133	104	236	0.5220883534136547
CE20.hmm	249	HMPREF1016_RS10685	543	3.9e-44	123	248	412	537	0.5020080321285141
GH43_1.hmm	310	HMPREF1016_RS10695	323	5.3e-164	2	310	8	317	0.9935483870967742
GH67.hmm	669	HMPREF1016_RS10700	651	5.4e-271	64	666	32	616	0.8998505231689088
GH115.hmm	697	HMPREF1016_RS10710	860	1.1e-283	2	697	35	837	0.9971305595408895
GH95.hmm	722	HMPREF1016_RS10715	716	2.5e-259	87	713	4	649	0.8670360110803325
GH97.hmm	631	HMPREF1016_RS10725	648	7.7e-166	4	628	12	646	0.9889064976228209
GH31_4.hmm	435	HMPREF1016_RS10735	817	6.3e-181	1	435	219	716	0.9977011494252873
GH43_10.hmm	271	HMPREF1016_RS10740	813	1e-102	1	271	28	295	0.996309963099631
CBM91.hmm	200	HMPREF1016_RS10740	813	3.8e-34	6	197	323	517	0.955
CE1.hmm	227	HMPREF1016_RS10745	382	3e-56	1	220	149	377	0.9647577092511013
GH5_21.hmm	259	HMPREF1016_RS10765	662	3.4e-113	2	258	77	357	0.9884169884169884
GH10.hmm	303	HMPREF1016_RS10770	719	1.6e-49	94	302	450	714	0.6864686468646864
GH43_12.hmm	281	HMPREF1016_RS10800	577	1.6e-115	2	281	70	365	0.9928825622775801
CBM91.hmm	200	HMPREF1016_RS10800	577	8.7e-59	6	180	398	576	0.87
CE15.hmm	269	HMPREF1016_RS19820	813	5.1e-86	1	268	56	379	0.9925650557620818
GH8.hmm	320	HMPREF1016_RS19820	813	1.1e-82	22	319	474	800	0.928125
CE6.hmm	99	HMPREF1016_RS20970	380	7.5e-35	2	99	91	201	0.9797979797979798
