dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH35_e44	GH35:96	-	-	181	HMPREF1016_RS10680	569	2.4e-86	1	180	35	214	0.988950276243094	0.988950276243094
CE20_e6	CE20:16	-	-	232	HMPREF1016_RS10685	543	1e-78	1	231	105	536	0.9913793103448276	0.9913793103448276
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	HMPREF1016_RS10695	323	5.2e-154	1	309	8	317	0.9935483870967742	0.9935483870967742
GH67_e0	GH67:722	3.2.1.139:4|3.2.1.131:3|3.2.1.-:1	xylan, xylan	668	HMPREF1016_RS10700	651	1.4e-295	79	667	47	616	0.8802395209580839	0.8802395209580839
GH115_e0	GH115:692|GH3:1|CE15:1|CBM6:1|CE4:1	3.2.1.131:6	xylan	646	HMPREF1016_RS10710	860	1e-271	2	645	37	845	0.9953560371517027	0.9953560371517027
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	HMPREF1016_RS10715	716	2e-269	85	729	4	649	0.8667563930013459	0.8667563930013459
GH97_e18	GH97:183|GH146:3|GH43_19:3|CE6:2	3.2.1.22:1|3.2.1.88:1	alpha-glucan	633	HMPREF1016_RS10725	648	0	5	632	18	646	0.990521327014218	0.990521327014218
GH31_e94	GH31:154	3.2.1.177:4	xyloglucan	461	HMPREF1016_RS10735	817	1.3e-230	1	461	220	717	0.9978308026030369	0.9978308026030369
GH43_e101	GH43_10:132|CBM22:17|CBM6:15|GH43_16:11|CBM2:10|GH10:5|GH43_2:4|GH43:3|GH62:2|CBM88:2|CBM9:2|CE6:1|GH8:1|CBM60:1	-	-	267	HMPREF1016_RS10740	813	1.3e-135	1	267	30	296	0.9962546816479401	0.9962546816479401
CBM91_e51	CBM91:206|GH43_10:196|CBM22:29|CBM6:17|GH43_16:15|GH43:7|CBM2:6|CE0:2|CBM13:2|CBM88:2|CBM9:2|GH43_29:1|CE6:1|CBM5:1|GH30_10:1	-	xylan	186	HMPREF1016_RS10740	813	2.9e-94	2	185	333	516	0.9838709677419355	0.9838709677419355
CBM48_e68	CBM48:192|CE0:190|CE6:12|GH10:3|CE1:2|GH62:1	3.1.1.73:1|3.2.1.55:1|3.2.1.8:1	glycogen	61	HMPREF1016_RS10745	382	2.4e-24	1	60	49	108	0.9672131147540983	0.9672131147540983
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	HMPREF1016_RS10745	382	4.1e-58	3	206	159	377	0.9854368932038835	0.9854368932038835
GH5_e243	GH5_21:28|GH43_10:5	3.2.1.8:2	xylan	275	HMPREF1016_RS10765	662	3.9e-162	1	275	78	358	0.9963636363636363	0.9963636363636363
CBM4_e6	CBM4:22|GH10:22|CBM0:7	3.2.1.8:5	xylan, beta-glucan	122	HMPREF1016_RS10770	719	4.7e-23	3	121	308	423	0.9672131147540983	0.9672131147540983
GH10_e5	GH10:38|CBM4:15|CBM0:9	3.2.1.8:4	xylan	262	HMPREF1016_RS10770	719	2.2e-134	1	262	451	715	0.9961832061068703	0.9961832061068703
GH43_e124	GH43_12:138|GH10:7|GH43:1	3.2.1.55:7|3.2.1.8:1	xylan, xylan	295	HMPREF1016_RS10800	577	1.5e-153	1	295	71	366	0.9966101694915255	0.9966101694915255
CBM91_e46	CBM91:172|GH43_12:169|GH10:14|GH43_8:1	-	xylan	179	HMPREF1016_RS10800	577	5.5e-65	1	177	398	577	0.9832402234636871	0.9832402234636871
CE15_e21	CE15:21|GH8:4|GH10:3|CBM9:1|CBM4:1	3.1.1.-:1	-	322	HMPREF1016_RS19820	813	1.2e-171	1	322	58	380	0.9968944099378882	0.9968944099378882
GH8_e12	GH8:49|GH43_2:6|CBM6:5|CE15:4	3.2.1.156:1	xylan	327	HMPREF1016_RS19820	813	4.2e-184	1	327	475	801	0.9969418960244648	0.9969418960244648
CE6_e2	CE6:151|CE0:39|CBM48:38|GH95:11|GH51:3|GH97:2|GH43_10:2|GH43_17:1|CBM5:1|CBM4:1|GH10:1|GH43_28:1|CBM88:1|CBM9:1	3.1.1.72:6|3.1.1.73:2	xylan	111	HMPREF1016_RS20970	380	6.6e-53	1	111	92	202	0.990990990990991	0.990990990990991
