Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
HMPREF1016_RS10680	-	GH35(34-227)	GH35_e44	GH35	3
HMPREF1016_RS10685	-	CE20(104-236)+CE20(412-537)	CE20_e6	CE20	3
HMPREF1016_RS10695	3.2.1.37:19|3.2.1.55:4	GH43_1(8-317)	GH43_e53	GH43_1	3
HMPREF1016_RS10700	3.2.1.139:4|3.2.1.131:3|3.2.1.-:1	GH67(32-616)	GH67_e0	GH67	3
HMPREF1016_RS10710	3.2.1.131:6	GH115(35-837)	GH115_e0	GH115	3
HMPREF1016_RS10715	3.2.1.-:3|3.2.1.63:2	GH95(4-649)	GH95_e1	CE6+GH95	3
HMPREF1016_RS10725	3.2.1.22:1|3.2.1.88:1	GH97(12-646)	GH97_e18	GH97	3
HMPREF1016_RS10735	3.2.1.177:4	GH31_4(219-716)	GH31_e94	GH31	3
HMPREF1016_RS10740	-|-	GH43_10(28-295)+CBM91(323-517)	GH43_e101+CBM91_e51	GH43_10	3
HMPREF1016_RS10745	3.1.1.73:1|3.2.1.55:1|3.2.1.8:1|-	CE1(149-377)	CBM48_e68+CE1_e22	CBM48+CE0	3
HMPREF1016_RS10765	3.2.1.8:2	GH5_21(77-357)	GH5_e243	GH5_21	3
HMPREF1016_RS10770	3.2.1.8:5|3.2.1.8:4	GH10(450-714)	CBM4_e6+GH10_e5	GH10	3
HMPREF1016_RS10800	3.2.1.55:7|3.2.1.8:1|-	GH43_12(70-365)+CBM91(398-576)	GH43_e124+CBM91_e46	GH43_12	3
HMPREF1016_RS19820	3.1.1.-:1|3.2.1.156:1	CE15(56-379)+GH8(474-800)	CE15_e21+GH8_e12	CE15+GH8	3
HMPREF1016_RS20970	3.1.1.72:6|3.1.1.73:2	CE6(91-201)	CE6_e2	CE6+GH95	3
HMPREF1016_RS10690	-	-	-	GH43_1	1
