CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NZ_KI912107	CYTFE_RS0104055	4736	7960	+	GH2
CGC1	TF	NZ_KI912107	CYTFE_RS0104060	8333	9190	+	HTH_AraC|HTH_AraC
CGC1	TC	NZ_KI912107	CYTFE_RS0104065	9721	12807	+	1.B.14.6.1
CGC1	null	NZ_KI912107	CYTFE_RS0104070;Parent	12836	14551	+	null
CGC1	CAZyme	NZ_KI912107	CYTFE_RS0104075	15229	17247	+	GH127
CGC1	CAZyme	NZ_KI912107	CYTFE_RS0104080	17297	19306	+	GH127
CGC1	null	NZ_KI912107	CYTFE_RS0104085;Parent	19318	20964	+	null
CGC1	null	NZ_KI912107	CYTFE_RS0104090;Parent	21040	22965	+	null
CGC1	CAZyme	NZ_KI912107	CYTFE_RS0104095	23179	25464	+	GH167
CGC1	CAZyme	NZ_KI912107	CYTFE_RS0104100	25821	27713	+	GH110
CGC1	TC	NZ_KI912107	CYTFE_RS0104105	27875	31015	+	1.B.14.6.1
