Organism,Scaffold,Start,End,Score,CP028460_1503,CP028460_1504,CP028460_1505,CP028460_1506,CP028460_1507,CP028460_1508
AE014295,AE014295.3,1728550,1733232,4.1673,1,1,0,0,1,0
CP000303,CP000303.1,2302257,2306877,6.2127,1,1,1,0,1,0
CP001095,CP001095.1,2741997,2746694,6.2129,1,1,1,0,1,0
CP006712,CP006712.1,2179866,2184486,6.2123,1,1,1,0,1,0
CP016019,CP016019.1,2308360,2313039,4.1676,1,1,0,0,1,0
CP028460,CP028460.1,1843828,1850807,8.3891,1,1,1,0,1,1
CP137763,CP137763.1,2265373,2270069,4.1680,1,1,0,0,1,0
NC_008618,NC_008618.1,1977021,1981616,4.1698,1,1,0,0,1,0
NC_015067,NC_015067.1,2266894,2271591,4.1680,1,1,0,0,1,0
NZ_AP022379,NZ_AP022379.1,2161516,2166213,4.1680,1,1,0,0,1,0
NZ_CP079235,NZ_CP079235.1,2192141,2200101,4.1699,1,1,0,0,1,0
NZ_PJDO01000018,NZ_PJDO01000018.1,104548,109245,4.1681,1,1,0,0,1,0
PJDT01000028,PJDT01000028.1,165341,169986,4.1662,1,1,0,0,1,0
