Organism,Scaffold,Start,End,Score,CP012801_5260,CP012801_5261,CP012801_5262,CP012801_5263,CP012801_5264,CP012801_5265
AE015928,AE015928.1,3913434,3923822,4.3731,1,1,0,0,1,0
CP012801,CP012801.1,6804982,6817567,11.8456,1,1,1,1,1,1
CP065889,CP065889.1,2112687,2125238,8.6596,1,0,1,1,1,1
CP091800,CP091800.1,402519,412566,4.3326,1,1,0,0,0,1
FP929033,FP929033.1,2660217,2670698,4.3729,1,1,0,0,1,0
GL945092,GL945092.1,33840,44321,4.3725,1,1,0,0,1,0
JH724241,JH724241.1,706433,716824,4.3721,1,1,0,0,1,0
LT622246,LT622246.1,1272932,1283329,4.3729,1,1,0,0,1,0
NZ_ABJL02000007,NZ_ABJL02000007.1,1365595,1378441,11.8324,1,1,1,1,1,1
NZ_CP113514,NZ_CP113514.1,6050075,6060466,4.3728,1,1,0,0,1,0
