Organism,Scaffold,Start,End,Score,CP000303_462,CP000303_463,CP000303_464,CP000303_465,CP000303_466,CP000303_467
AE014295,AE014295.3,1167522,1177370,11.5652,1,1,1,1,1,1
CP000303,CP000303.1,555378,565250,11.5958,1,1,1,1,1,1
CP006712,CP006712.1,461636,471507,11.5925,1,1,1,1,1,1
CP090790,CP090790.1,710681,716802,5.3688,0,0,0,1,1,1
NC_004307,NC_004307.2,1167522,1177370,11.5652,1,1,1,1,1,1
NC_020517,NC_020517.1,555378,565250,11.5958,1,1,1,1,1,1
NZ_AP012330,NZ_AP012330.1,1894973,1900961,7.2851,1,1,1,1,0,0
NZ_CP079235,NZ_CP079235.1,1949247,1955235,7.2851,1,1,1,1,0,0
NZ_PJEE01000001,NZ_PJEE01000001.1,419369,426335,9.3944,1,1,1,1,1,0
NZ_PJEG01000006,NZ_PJEG01000006.1,13105,22953,11.5666,1,1,1,1,1,1
