Organism,Scaffold,Start,End,Score,CP180383_1552,CP180383_1553,CP180383_1554,CP180383_1555,CP180383_1556,CP180383_1557,CP180383_1558,CP180383_1559
AE014295,AE014295.3,1696529,1699655,5.1563,0,0,0,1,1,1,0,0
CP000303,CP000303.1,2337396,2340540,5.1578,0,0,0,1,1,1,0,0
CP001095,CP001095.1,2769769,2776158,6.2493,1,0,0,1,1,1,0,0
CP006712,CP006712.1,2201052,2206792,6.2499,1,0,0,1,1,1,0,0
CP016019,CP016019.1,2345393,2348519,5.1560,0,0,0,1,1,1,0,0
CP028460,CP028460.1,1876471,1890055,15.7447,1,1,1,1,1,1,1,1
CP137763,CP137763.1,2308530,2311656,5.1560,0,0,0,1,1,1,0,0
NC_008618,NC_008618.1,1992746,2001812,3.2569,1,0,0,1,0,0,0,1
NC_015067,NC_015067.1,2312659,2315785,5.1560,0,0,0,1,1,1,0,0
NZ_AP022379,NZ_AP022379.1,2197089,2200215,5.1560,0,0,0,1,1,1,0,0
NZ_CP079235,NZ_CP079235.1,2266275,2270356,4.1861,1,0,0,1,1,0,0,0
