HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH2.hmm	752	PATL_RS04110	858	6.7e-114	23	608	21	793	0.7779255319148937
GH16_14.hmm	224	PATL_RS04115	295	1.9e-93	1	224	71	291	0.9955357142857143
GH43_2.hmm	273	PATL_RS04140	450	1.6e-114	1	272	32	299	0.9926739926739927
CBM6.hmm	138	PATL_RS04140	450	1.2e-32	39	137	346	450	0.7101449275362319
GH117.hmm	211	PATL_RS04150	430	6.7e-47	2	120	101	229	0.5592417061611374
GH117.hmm	211	PATL_RS04150	430	7.3e-28	29	131	222	324	0.4834123222748815
GH2.hmm	752	PATL_RS04195	1079	5.3e-233	19	749	60	958	0.9707446808510638
GH29.hmm	346	PATL_RS04205	534	1.3e-106	16	346	41	414	0.953757225433526
GH16_12.hmm	239	PATL_RS04210	454	5.3e-95	1	239	58	308	0.99581589958159
GH3.hmm	216	PATL_RS04215	733	1.2e-70	3	215	59	300	0.9814814814814815
CE20.hmm	249	PATL_RS04240	635	2.7e-39	3	121	104	229	0.4738955823293173
CE20.hmm	249	PATL_RS04240	635	2.5e-49	103	244	357	523	0.5662650602409639
GH29.hmm	346	PATL_RS04245	530	6.6e-114	16	345	48	416	0.9508670520231214
GH2.hmm	752	PATL_RS04250	979	2.2e-93	21	555	25	633	0.7101063829787234
GH140.hmm	412	PATL_RS04255	545	9.2e-16	7	396	133	522	0.9441747572815534
GH86.hmm	591	PATL_RS04285	983	1.1e-161	4	508	28	534	0.8527918781725888
GH43_12.hmm	281	PATL_RS04300	546	1.4e-104	1	276	29	311	0.9786476868327402
CBM91.hmm	200	PATL_RS04300	546	8.8e-56	3	199	347	545	0.98
GH16_14.hmm	224	PATL_RS04305	284	3.9e-32	1	224	51	283	0.9955357142857143
