dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH2_e16	GH2:215|CBM32:1	3.2.1.23:3	beta-galactan	748	PATL_RS04110	858	5.4e-283	3	748	23	793	0.9959893048128342	0.9959893048128342
GH16_e259	GH16_14:19	-	-	221	PATL_RS04115	295	1.5e-123	1	221	72	292	0.995475113122172	0.995475113122172
GH43_e314	GH43_2:8|CBM6:7	-	-	269	PATL_RS04140	450	1.5e-153	1	269	33	301	0.9962825278810409	0.9962825278810409
CBM6_e97	CBM6:21|GH43_2:21	-	beta-glucan, xylan, cellulose	112	PATL_RS04140	450	1.8e-46	6	112	344	450	0.9464285714285714	0.9464285714285714
GH117_e15	GH117:110|CBM6:2	3.2.1.159:6	agarose	130	PATL_RS04150	430	5.8e-54	1	129	103	229	0.9846153846153847	0.9846153846153847
GH117_e15	GH117:110|CBM6:2	3.2.1.159:6	agarose	130	PATL_RS04150	430	9.8e-27	37	129	228	314	0.7076923076923077	0.7076923076923077
GH2_e1	GH2:1541|CBM32:15|CBM51:13|CBM13:8|GH106:2|CBM67:2|GH33:1	3.2.1.23:35	beta-galactan	883	PATL_RS04195	1079	0	21	881	55	959	0.9739524348810872	0.9739524348810872
GH29_e0	GH29:426|CBM47:7|CBM6:1	3.2.1.51:1	host glycan	369	PATL_RS04205	534	2.6e-139	7	369	50	415	0.981029810298103	0.981029810298103
GH16_e154	GH16_11:38|CBM6:2|GH16:2|GH16_12:2|GH16_26:1|CBM13:1	3.2.1.178:2	porphyran	239	PATL_RS04210	454	1.3e-76	1	239	59	309	0.99581589958159	0.99581589958159
GH3_e0	GH3:1894|GH67:1|CBM6:1|CBM32:1	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	xylan, arabinan, beta-glucan, beta-glucan	251	PATL_RS04215	733	5.3e-120	2	246	57	303	0.9721115537848606	0.9721115537848606
CE20_e20	CE20:241	-	-	236	PATL_RS04240	635	8.7e-92	1	234	105	527	0.9872881355932204	0.9872881355932204
GH29_e53	GH29:465|GH43_18:4	3.2.1.51:6	host glycan	357	PATL_RS04245	530	4.2e-158	2	357	54	418	0.9943977591036415	0.9943977591036415
GH2_e91	GH2:31	-	-	580	PATL_RS04250	979	1.1e-269	4	579	32	607	0.9913793103448276	0.9913793103448276
GH140_e15	GH140:111|GH23:1|CBM35:1	-	-	421	PATL_RS04255	545	8.4e-17	5	420	133	539	0.9857482185273159	0.9857482185273159
GH86_e7	GH86:51|CBM6:17|CBM13:3	3.2.1.81:2|3.2.1.178:1	agarose, agarose	586	PATL_RS04285	983	1.4e-202	3	503	32	536	0.8532423208191127	0.8532423208191127
GH43_e259	GH43_12:55|GH43:2	3.2.1.55:2|3.2.1.37:1	xylan, xylan	286	PATL_RS04300	546	1.6e-136	1	281	30	312	0.9790209790209791	0.9790209790209791
CBM91_e28	CBM91:215|GH43_12:206|GH43:7|GH43_14:1	-	xylan	199	PATL_RS04300	546	1.1e-63	1	198	349	544	0.9899497487437185	0.9899497487437185
GH16_e22	GH16_24:11|GH16:5|GH16_14:1	-	-	228	PATL_RS04305	284	1.5e-79	1	228	53	284	0.9956140350877193	0.9956140350877193
