CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NC_008228	PATL_RS04110	1	2577	+	GH2
CGC1	CAZyme	NC_008228	PATL_RS04115	2590	3477	+	GH16_14
CGC1	null	NC_008228	PATL_RS04120;Parent	3584	4252	-	null
CGC1	null	NC_008228	PATL_RS04125;Parent	4281	5780	-	null
CGC1	null	NC_008228	PATL_RS04130;Parent	5871	7571	-	null
CGC1	null	NC_008228	PATL_RS04135;Parent	7646	11302	-	null
CGC1	CAZyme	NC_008228	PATL_RS04140	11997	13349	+	GH43_2|CBM6
CGC1	null	NC_008228	PATL_RS04145;Parent	13394	14308	+	null
CGC1	CAZyme	NC_008228	PATL_RS04150	14305	15597	+	GH117|GH117
CGC1	null	NC_008228	PATL_RS04155;Parent	15651	15956	+	null
CGC1	null	NC_008228	PATL_RS04160;Parent	16026	17444	-	null
CGC1	TC	NC_008228	PATL_RS04165	17454	20678	-	1.B.14.17.1
CGC1	null	NC_008228	PATL_RS04170;Parent	20687	21928	-	null
CGC1	null	NC_008228	PATL_RS04175;Parent	21931	23328	-	null
CGC1	TF	NC_008228	PATL_RS04180	23498	24379	+	HTH_AraC|HTH_AraC
CGC1	null	NC_008228	PATL_RS04185;Parent	24517	26088	-	null
CGC1	null	NC_008228	PATL_RS04190;Parent	26104	27987	-	null
CGC1	CAZyme	NC_008228	PATL_RS04195	27990	31229	-	GH2
CGC1	null	NC_008228	PATL_RS04200;Parent	31395	31751	+	null
CGC1	CAZyme	NC_008228	PATL_RS04205	31913	33517	+	GH29
CGC1	CAZyme	NC_008228	PATL_RS04210	33559	34923	+	GH16_12
CGC1	CAZyme	NC_008228	PATL_RS04215	35098	37299	-	GH3
CGC1	null	NC_008228	PATL_RS04220;Parent	37409	39292	+	null
CGC1	TF	NC_008228	PATL_RS04225	39289	40167	+	HTH_AraC|HTH_AraC
CGC1	null	NC_008228	PATL_RS04230;Parent	40187	41674	+	null
CGC1	null	NC_008228	PATL_RS04235;Parent	41720	43252	+	null
CGC1	CAZyme	NC_008228	PATL_RS04240	43364	45271	-	CE20|CE20
CGC1	CAZyme	NC_008228	PATL_RS04245	45322	46914	-	GH29
CGC1	CAZyme	NC_008228	PATL_RS04250	47295	50234	+	GH2
CGC1	CAZyme	NC_008228	PATL_RS04255	50224	51861	+	GH140
CGC1	null	NC_008228	PATL_RS04260;Parent	51866	53344	+	null
CGC1	TC	NC_008228	PATL_RS04265	53357	54925	+	2.A.21.3.2
CGC1	STP	NC_008228	PATL_RS04270	54948	55895	+	PfkB
CGC1	null	NC_008228	PATL_RS04275;Parent	55895	56818	+	null
CGC1	null	NC_008228	PATL_RS04280;Parent	56887	57657	-	null
CGC1	CAZyme	NC_008228	PATL_RS04285	58115	61066	+	GH86
CGC1	null	NC_008228	PATL_RS04290;Parent	61067	62023	-	null
CGC1	null	NC_008228	PATL_RS04295;Parent	62313	62528	+	null
CGC1	CAZyme	NC_008228	PATL_RS04300	63079	64719	-	GH43_12|CBM91
CGC1	CAZyme	NC_008228	PATL_RS04305	64841	65695	-	GH16_14
