Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
PATL_RS04110	3.2.1.23:3	GH2(21-793)	GH2_e16	GH2	3
PATL_RS04115	-	GH16_14(71-291)	GH16_e259	GH16_14	3
PATL_RS04140	-|-	GH43_2(32-299)+CBM6(346-450)	GH43_e314+CBM6_e97	CBM6+GH43_2	3
PATL_RS04150	3.2.1.159:6|3.2.1.159:6	GH117(101-229)+GH117(222-324)	GH117_e15+GH117_e15	GH117	3
PATL_RS04195	3.2.1.23:35	GH2(60-958)	GH2_e1	GH2	3
PATL_RS04205	3.2.1.51:1	GH29(41-414)	GH29_e0	GH29	3
PATL_RS04210	3.2.1.178:2	GH16_12(58-308)	GH16_e154	GH16_12	3
PATL_RS04215	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	GH3(59-300)	GH3_e0	GH3	3
PATL_RS04240	-	CE20(104-229)+CE20(357-523)	CE20_e20	CE20	3
PATL_RS04245	3.2.1.51:6	GH29(48-416)	GH29_e53	GH29	3
PATL_RS04250	-	GH2(25-633)	GH2_e91	GH2	3
PATL_RS04255	-	GH140(133-522)	GH140_e15	-	2
PATL_RS04285	3.2.1.81:2|3.2.1.178:1	GH86(28-534)	GH86_e7	GH86	3
PATL_RS04300	3.2.1.55:2|3.2.1.37:1|-	GH43_12(29-311)+CBM91(347-545)	GH43_e259+CBM91_e28	GH43_12	3
PATL_RS04305	-	GH16_14(51-283)	GH16_e22	GH16	3
PATL_RS04165	-	-	-	CBM47	1
PATL_RS04190	-	-	-	GH29	1
PATL_RS04235	-	-	-	GH117	1
