CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	JAPFGC010000002	OOZ35_13080	1	3045	+	1.B.14.6.1
CGC1	null	JAPFGC010000002	OOZ35_13085;Parent	3073	4635	+	null
CGC1	CAZyme	JAPFGC010000002	OOZ35_13090	4727	6274	+	GH51_1
CGC1	CAZyme	JAPFGC010000002	OOZ35_13095	6286	7899	+	GH43_4
CGC1	CAZyme	JAPFGC010000002	OOZ35_13100	7909	8904	+	GH43_29
CGC1	CAZyme	JAPFGC010000002	OOZ35_13105	8910	9896	+	GH43_5
CGC1	CAZyme	JAPFGC010000002	OOZ35_13110	9907	11868	+	GH127
CGC1	TC	JAPFGC010000002	OOZ35_13115	11899	13239	+	2.A.2.3.7
CGC1	CAZyme	JAPFGC010000002	OOZ35_13120	13241	14242	+	GH43_26
CGC1	CAZyme	JAPFGC010000002	OOZ35_13125	14244	16262	+	GH51_2
CGC1	null	JAPFGC010000002	OOZ35_13130;Parent	16327	18018	+	null
CGC1	null	JAPFGC010000002	OOZ35_13135;Parent	18002	18703	+	null
CGC1	null	JAPFGC010000002	OOZ35_13140;Parent	18715	20211	+	null
CGC1	null	JAPFGC010000002	OOZ35_13145;Parent	20240	21424	+	null
CGC1	TC	JAPFGC010000002	OOZ35_13150	21444	23063	+	2.A.21.3.19
CGC1	CAZyme	JAPFGC010000002	OOZ35_13155	23130	25052	-	GH97
