HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_16.hmm	311	Ccel_1229	535	3.8e-105	3	310	31	314	0.9871382636655949
CBM6.hmm	138	Ccel_1229	535	1.3e-41	16	137	336	459	0.8768115942028986
GH10.hmm	303	Ccel_1230	541	1.7e-78	28	301	56	325	0.900990099009901
CBM6.hmm	138	Ccel_1230	541	2.5e-37	17	137	347	468	0.8695652173913043
GH43_29.hmm	278	Ccel_1231	524	3e-125	1	277	26	307	0.9928057553956835
CBM6.hmm	138	Ccel_1231	524	7e-42	17	138	330	452	0.8768115942028986
CE1.hmm	227	Ccel_1232	490	2.6e-55	1	219	64	277	0.960352422907489
CBM6.hmm	138	Ccel_1232	490	7.9e-44	16	136	300	421	0.8695652173913043
GH43_10.hmm	271	Ccel_1233	746	1.2e-93	1	271	36	300	0.996309963099631
CBM91.hmm	200	Ccel_1233	746	1.8e-31	5	198	344	535	0.965
CBM6.hmm	138	Ccel_1233	746	7.7e-39	16	137	553	675	0.8768115942028986
GH62.hmm	278	Ccel_1234	536	7.2e-83	20	276	46	294	0.920863309352518
CBM6.hmm	138	Ccel_1234	536	2.5e-36	14	137	339	463	0.8913043478260869
GH43_29.hmm	278	Ccel_1235	509	1.2e-121	1	278	26	297	0.9964028776978417
CBM6.hmm	138	Ccel_1235	509	7.7e-44	16	138	318	441	0.8840579710144928
GH146.hmm	503	Ccel_1236	955	1.4e-191	1	503	42	550	0.9980119284294234
CBM22.hmm	131	Ccel_1236	955	4.5e-35	1	131	651	782	0.9923664122137404
GH27.hmm	229	Ccel_1237	604	9.1e-94	4	228	136	373	0.9781659388646288
CBM6.hmm	138	Ccel_1237	604	1e-42	17	137	408	529	0.8695652173913043
GH59.hmm	631	Ccel_1238	1122	1.6e-211	4	631	46	775	0.993660855784469
CBM6.hmm	138	Ccel_1238	1122	4e-40	17	137	928	1049	0.8695652173913043
GH2.hmm	752	Ccel_1239	1015	4.5e-133	30	607	49	743	0.7672872340425532
CBM6.hmm	138	Ccel_1239	1015	1.2e-43	14	137	819	943	0.8913043478260869
GH62.hmm	278	Ccel_1240	780	1.6e-82	20	276	46	294	0.920863309352518
CBM6.hmm	138	Ccel_1240	780	8.4e-36	13	136	338	462	0.8913043478260869
CE6.hmm	99	Ccel_1240	780	3.7e-31	1	99	611	703	0.98989898989899
GH95.hmm	722	Ccel_1241	1164	1.9e-259	17	717	75	797	0.9695290858725761
CBM32.hmm	124	Ccel_1241	1164	8e-27	5	122	830	954	0.9435483870967742
CBM6.hmm	138	Ccel_1241	1164	6.3e-40	18	137	973	1093	0.8623188405797102
GH30_8.hmm	342	Ccel_1242	658	8.3e-148	2	340	35	378	0.9883040935672515
CBM6.hmm	138	Ccel_1242	658	3.9e-41	18	138	437	558	0.8695652173913043
