Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
ACI5KW_RS09655	QDT13065.1|GH95	72.6	770	208	2	72	841	18	784	0.0	1207
ACI5KW_RS09670	QDT02016.1|CBM32	67.1	1005	330	1	1	1004	28	1032	0.0	1379
ACI5KW_RS09675	QDV63998.1|GH97	60.6	371	145	1	54	424	25	394	2.10e-150	457
ACI5KW_RS09680	QDV66019.1|GH29	46.0	485	233	6	37	510	29	495	2.98e-149	462
ACI5KW_RS09685	QXD25722.1|GH33	42.7	503	256	10	1	479	1	495	2.66e-124	389
ACI5KW_RS09690	QEG24891.1|GH29	74.3	556	143	0	46	601	31	586	0.0	896
ACI5KW_RS09715	QDV85195.1|GH29	72.6	508	133	1	42	549	58	559	1.44e-292	809
ACI5KW_RS09725	CAD71736.1|CE0	39.1	732	351	16	29	726	41	711	1.63e-139	434
ACI5KW_RS09730	AWW32784.1|CBM32	44.0	828	416	17	1	815	7	799	1.67e-213	639
ACI5KW_RS09735	QDV45689.1|GH29	74.0	572	148	1	26	596	20	591	0.0	924
