Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
BACINT_04197	3.2.1.8:5|3.2.1.8:5|3.2.1.8:1	GH10(493-751)	CBM4_e6+CBM4_e6+GH10_e28	CBM4+GH10+3.2.1.8	3
BACINT_04199	-	GH35(46-246)	GH35_e44	GH35	3
BACINT_04200	-	CE20(117-257)+CE20(426-551)	CE20_e6	CE20	3
BACINT_04202	3.2.1.8:21|3.2.1.55:1|3.2.1.55:7|3.2.1.8:1|-	GH10(30-368)+GH43_12(410-704)+CBM91(733-908)	GH10_e83+GH43_e124+CBM91_e46	GH10+GH43_12+3.2.1.55+3.2.1.8	3
BACINT_04203	3.2.1.37:19|3.2.1.55:4	GH43_1(8-318)	GH43_e53	GH43_1+3.2.1.37	3
BACINT_04204	-	GH109(1-149)	-	-	1
BACINT_04205	3.2.1.139:4|3.2.1.131:3|3.2.1.-:1	GH67(49-640)	GH67_e0	GH67	3
BACINT_04210	3.2.1.8:3|3.2.1.4:2	GH8(84-409)	GH8_e37	GH8+3.2.1.8	3
BACINT_04211	3.1.1.72:6|3.1.1.73:2|3.2.1.-:3|3.2.1.63:2	CE6(73-183)+GH95(266-997)	CE6_e2+GH95_e1	CE6+GH95	3
BACINT_04212	-	CE1(38-289)	CE1_e22	-	2
BACINT_04213	3.2.1.8:2	GH5_21(75-355)	GH5_e243	GH5_21+3.2.1.8	3
BACINT_04215	3.2.1.8:5|3.2.1.8:5|3.2.1.8:4	GH10(482-741)	GH10_e103+CBM4_e6+GH10_e5	CBM0+GH10	3
BACINT_04222	-	CE20(98-223)+CE20(405-530)	CE20_e6	CE20	3
BACINT_04223	3.2.1.131:6	GH115(49-827)	GH115_e0	GH115	3
BACINT_04201	-	-	-	GH43_1	1
