CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	NZ_VISB01000001	JM81_RS00850	2292	4259	-	3.A.3.6.5
CGC1	TF	NZ_VISB01000001	JM81_RS00855	4304	4720	-	FUR
CGC1	null	NZ_VISB01000001	JM81_RS00860;Parent	4857	5828	-	null
CGC1	null	NZ_VISB01000001	JM81_RS00865;Parent	5818	6693	-	null
CGC1	CAZyme	NZ_VISB01000001	JM81_RS00870	6865	8799	-	CE20|CE20
CGC1	CAZyme	NZ_VISB01000001	JM81_RS00875	8812	9852	-	GH43_1
CGC1	TC	NZ_VISB01000001	JM81_RS00880	9856	11307	-	2.A.2.3.4
CGC1	CAZyme	NZ_VISB01000001	JM81_RS00885	11332	12483	-	GH10
CGC1	TF	NZ_VISB01000001	JM81_RS00890	12692	16861	-	HTH_AraC|HTH_AraC
CGC1	CAZyme	NZ_VISB01000001	JM81_RS00895	16891	19062	-	GH67
CGC1	null	NZ_VISB01000001	JM81_RS00900;Parent	19273	22581	-	null
CGC1	TC	NZ_VISB01000001	JM81_RS00905	22691	24175	-	8.A.46.1.3
CGC1	TC	NZ_VISB01000001	JM81_RS00910	24196	27192	-	1.B.14.6.1
