FUR	120	JM81_RS00855	138	1.5e-12	3	100	12	113	0.8083333333333333
Reg_prop	24	JM81_RS00890	1389	2.9e-05	2	24	38	60	0.9166666666666666
Reg_prop	24	JM81_RS00890	1389	3e-05	4	23	86	105	0.7916666666666666
Reg_prop	24	JM81_RS00890	1389	7.3e-05	2	23	314	335	0.875
Reg_prop	24	JM81_RS00890	1389	1.6e-06	1	23	457	479	0.9166666666666666
Reg_prop	24	JM81_RS00890	1389	1e-05	5	24	560	580	0.7916666666666666
Reg_prop	24	JM81_RS00890	1389	7.9e-05	2	23	602	623	0.875
Y_Y_Y	66	JM81_RS00890	1389	5e-21	1	66	736	800	0.9848484848484849
HisKA	64	JM81_RS00890	1389	2e-12	2	61	855	919	0.921875
HATPase_c	111	JM81_RS00890	1389	1.9e-26	1	110	968	1095	0.9819819819819819
Response_reg	112	JM81_RS00890	1389	2.5e-27	1	111	1142	1252	0.9821428571428571
HTH_18	81	JM81_RS00890	1389	1.5e-23	1	78	1308	1384	0.9506172839506173
Aminotran_1_2	363	JM81_RS00920	436	3.4e-13	46	188	39	158	0.39118457300275483
