PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0640	TC	NZ_KB290658	HMPREF0369_RS06055	1	981	+	3.A.1.2.1
PUL0640	STP	NZ_KB290658	HMPREF0369_RS06060	994	2316	+	HATPase_c
PUL0640	TF	NZ_KB290658	HMPREF0369_RS06065	2313	2981	+	GerE
PUL0640	STP	NZ_KB290658	HMPREF0369_RS06070	2982	4301	+	SBP_bac_1
PUL0640	CDS	NZ_KB290658	HMPREF0369_RS06075	4463	4897	+	null
PUL0640	CDS	NZ_KB290658	HMPREF0369_RS06080	4918	5415	+	null
PUL0640	TC	NZ_KB290658	HMPREF0369_RS06085	5442	6296	+	4.A.6.1.19
PUL0640	TC	NZ_KB290658	HMPREF0369_RS06090	6298	7134	+	4.A.6.1.15
PUL0640	CDS	NZ_KB290658	HMPREF0369_RS06095	7150	7434	+	null
PUL0640	CAZyme	NZ_KB290658	HMPREF0369_RS13555	7516	11559	+	GH32+CBM66
